formulation_group_fig4,pH_condition_fig4,real_time_h,n_videos,mean_smoothed_normalized_projected_area,sd_smoothed_normalized_projected_area,source_videos,raw_points_in_trace,downsample_interval_h,smoothing_window_h,smoothing_window_points,smoothing_method,downsampling_method,y_axis_min,y_axis_max,x_axis_min,x_axis_max,x_axis_ticks
01 high viscosity,pH 1.2,3.333333333333333,1,2.4297937352237113,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.3333333333333333,0.75,5,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0,0.0,24.8,"0,4,8,12,16,20,24"
01 high viscosity,pH 1.2,3.6666666666666665,1,2.5146084847910632,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.3333333333333333,0.75,5,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0,0.0,24.8,"0,4,8,12,16,20,24"
01 high viscosity,pH 1.2,4.0,1,2.593738776682443,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.3333333333333333,0.75,5,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0,0.0,24.8,"0,4,8,12,16,20,24"
01 high viscosity,pH 1.2,4.333333333333333,1,2.664795237834405,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.3333333333333333,0.75,5,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0,0.0,24.8,"0,4,8,12,16,20,24"
01 high viscosity,pH 1.2,4.666666666666666,1,2.723264706709638,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.3333333333333333,0.75,5,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0,0.0,24.8,"0,4,8,12,16,20,24"
01 high viscosity,pH 1.2,5.0,1,2.784634584324588,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.3333333333333333,0.75,5,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0,0.0,24.8,"0,4,8,12,16,20,24"
01 high viscosity,pH 1.2,5.333333333333333,1,2.845268404760389,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.3333333333333333,0.75,5,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0,0.0,24.8,"0,4,8,12,16,20,24"
01 high viscosity,pH 1.2,5.666666666666666,1,2.887677556029614,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.3333333333333333,0.75,5,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0,0.0,24.8,"0,4,8,12,16,20,24"
01 high viscosity,pH 1.2,6.0,1,2.9348997988130114,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.3333333333333333,0.75,5,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0,0.0,24.8,"0,4,8,12,16,20,24"
01 high viscosity,pH 1.2,6.333333333333333,1,2.9877762990180474,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.3333333333333333,0.75,5,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0,0.0,24.8,"0,4,8,12,16,20,24"
01 high viscosity,pH 1.2,6.666666666666666,1,3.0349245215702356,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.3333333333333333,0.75,5,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0,0.0,24.8,"0,4,8,12,16,20,24"
01 high viscosity,pH 1.2,7.0,1,3.088880532827232,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.3333333333333333,0.75,5,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0,0.0,24.8,"0,4,8,12,16,20,24"
01 high viscosity,pH 1.2,7.333333333333333,1,3.125360959657493,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.3333333333333333,0.75,5,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0,0.0,24.8,"0,4,8,12,16,20,24"
01 high viscosity,pH 1.2,7.666666666666666,1,3.1660922203256594,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.3333333333333333,0.75,5,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0,0.0,24.8,"0,4,8,12,16,20,24"
01 high viscosity,pH 1.2,8.0,1,3.203263996115419,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.3333333333333333,0.75,5,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0,0.0,24.8,"0,4,8,12,16,20,24"
01 high viscosity,pH 1.2,8.333333333333332,1,3.2376087912348206,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.3333333333333333,0.75,5,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0,0.0,24.8,"0,4,8,12,16,20,24"
01 high viscosity,pH 1.2,8.666666666666666,1,3.2684710825162733,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.3333333333333333,0.75,5,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0,0.0,24.8,"0,4,8,12,16,20,24"
01 high viscosity,pH 1.2,9.0,1,3.3028120285836517,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.3333333333333333,0.75,5,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0,0.0,24.8,"0,4,8,12,16,20,24"
01 high viscosity,pH 1.2,9.333333333333332,1,3.334110447067393,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.3333333333333333,0.75,5,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0,0.0,24.8,"0,4,8,12,16,20,24"
01 high viscosity,pH 1.2,9.666666666666666,1,3.352314094488306,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.3333333333333333,0.75,5,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0,0.0,24.8,"0,4,8,12,16,20,24"
01 high viscosity,pH 1.2,10.0,1,3.3673635918169156,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.3333333333333333,0.75,5,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0,0.0,24.8,"0,4,8,12,16,20,24"
01 high viscosity,pH 1.2,10.333333333333332,1,3.381652457249616,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.3333333333333333,0.75,5,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0,0.0,24.8,"0,4,8,12,16,20,24"
01 high viscosity,pH 1.2,10.666666666666666,1,3.3929260345437613,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.3333333333333333,0.75,5,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0,0.0,24.8,"0,4,8,12,16,20,24"
01 high viscosity,pH 1.2,11.0,1,3.4002718022890015,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.3333333333333333,0.75,5,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0,0.0,24.8,"0,4,8,12,16,20,24"
01 high viscosity,pH 1.2,11.333333333333332,1,3.403109737953578,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.3333333333333333,0.75,5,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0,0.0,24.8,"0,4,8,12,16,20,24"
01 high viscosity,pH 1.2,11.666666666666666,1,3.405904149722202,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.3333333333333333,0.75,5,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0,0.0,24.8,"0,4,8,12,16,20,24"
01 high viscosity,pH 1.2,12.0,1,3.407102685305948,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.3333333333333333,0.75,5,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0,0.0,24.8,"0,4,8,12,16,20,24"
01 high viscosity,pH 1.2,12.333333333333332,1,3.413466648704424,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.3333333333333333,0.75,5,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0,0.0,24.8,"0,4,8,12,16,20,24"
01 high viscosity,pH 1.2,12.666666666666666,1,3.415660016195626,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.3333333333333333,0.75,5,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0,0.0,24.8,"0,4,8,12,16,20,24"
01 high viscosity,pH 1.2,13.0,1,3.4131835953402785,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.3333333333333333,0.75,5,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0,0.0,24.8,"0,4,8,12,16,20,24"
01 high viscosity,pH 1.2,13.333333333333332,1,3.410199691779757,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.3333333333333333,0.75,5,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0,0.0,24.8,"0,4,8,12,16,20,24"
01 high viscosity,pH 1.2,13.666666666666666,1,3.4051944437453643,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.3333333333333333,0.75,5,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0,0.0,24.8,"0,4,8,12,16,20,24"
01 high viscosity,pH 1.2,14.0,1,3.3973648797689386,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.3333333333333333,0.75,5,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0,0.0,24.8,"0,4,8,12,16,20,24"
01 high viscosity,pH 1.2,14.333333333333332,1,3.3798365929375818,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.3333333333333333,0.75,5,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0,0.0,24.8,"0,4,8,12,16,20,24"
01 high viscosity,pH 1.2,14.666666666666666,1,3.3571049799331147,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.3333333333333333,0.75,5,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0,0.0,24.8,"0,4,8,12,16,20,24"
01 high viscosity,pH 1.2,15.0,1,3.342558228014881,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.3333333333333333,0.75,5,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0,0.0,24.8,"0,4,8,12,16,20,24"
01 high viscosity,pH 1.2,15.333333333333332,1,3.324156206374326,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.3333333333333333,0.75,5,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0,0.0,24.8,"0,4,8,12,16,20,24"
01 high viscosity,pH 1.2,15.666666666666666,1,3.3036484571963216,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.3333333333333333,0.75,5,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0,0.0,24.8,"0,4,8,12,16,20,24"
01 high viscosity,pH 1.2,16.0,1,3.275288641891602,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.3333333333333333,0.75,5,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0,0.0,24.8,"0,4,8,12,16,20,24"
01 high viscosity,pH 1.2,16.333333333333332,1,3.247341563396108,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.3333333333333333,0.75,5,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0,0.0,24.8,"0,4,8,12,16,20,24"
01 high viscosity,pH 1.2,16.666666666666664,1,3.213571757432742,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.3333333333333333,0.75,5,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0,0.0,24.8,"0,4,8,12,16,20,24"
01 high viscosity,pH 1.2,17.0,1,3.195227767653455,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.3333333333333333,0.75,5,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0,0.0,24.8,"0,4,8,12,16,20,24"
01 high viscosity,pH 1.2,17.333333333333332,1,3.1761216655736346,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.3333333333333333,0.75,5,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0,0.0,24.8,"0,4,8,12,16,20,24"
01 high viscosity,pH 1.2,17.666666666666664,1,3.1476250608816403,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.3333333333333333,0.75,5,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0,0.0,24.8,"0,4,8,12,16,20,24"
01 high viscosity,pH 1.2,18.0,1,3.1106824517277065,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.3333333333333333,0.75,5,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0,0.0,24.8,"0,4,8,12,16,20,24"
01 high viscosity,pH 1.2,18.333333333333332,1,3.07543727451587,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.3333333333333333,0.75,5,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0,0.0,24.8,"0,4,8,12,16,20,24"
01 high viscosity,pH 1.2,18.666666666666664,1,3.0472405998007375,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.3333333333333333,0.75,5,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0,0.0,24.8,"0,4,8,12,16,20,24"
01 high viscosity,pH 1.2,19.0,1,3.0108913368201797,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.3333333333333333,0.75,5,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0,0.0,24.8,"0,4,8,12,16,20,24"
01 high viscosity,pH 1.2,19.333333333333332,1,2.9724369384640204,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.3333333333333333,0.75,5,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0,0.0,24.8,"0,4,8,12,16,20,24"
01 high viscosity,pH 1.2,19.666666666666664,1,2.936431425437201,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.3333333333333333,0.75,5,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0,0.0,24.8,"0,4,8,12,16,20,24"
01 high viscosity,pH 1.2,20.0,1,2.90339382760096,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.3333333333333333,0.75,5,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0,0.0,24.8,"0,4,8,12,16,20,24"
01 high viscosity,pH 1.2,20.333333333333332,1,2.866962254123296,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.3333333333333333,0.75,5,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0,0.0,24.8,"0,4,8,12,16,20,24"
01 high viscosity,pH 1.2,20.666666666666664,1,2.828530950079276,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.3333333333333333,0.75,5,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0,0.0,24.8,"0,4,8,12,16,20,24"
01 high viscosity,pH 1.2,21.0,1,2.7935472123240723,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.3333333333333333,0.75,5,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0,0.0,24.8,"0,4,8,12,16,20,24"
01 high viscosity,pH 1.2,21.333333333333332,1,2.7639737613084403,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.3333333333333333,0.75,5,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0,0.0,24.8,"0,4,8,12,16,20,24"
01 high viscosity,pH 1.2,21.666666666666664,1,2.745336651413564,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.3333333333333333,0.75,5,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0,0.0,24.8,"0,4,8,12,16,20,24"
01 high viscosity,pH 1.2,22.0,1,2.7479069299220864,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.3333333333333333,0.75,5,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0,0.0,24.8,"0,4,8,12,16,20,24"
01 high viscosity,pH 1.2,22.333333333333332,1,2.6738325159032454,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.3333333333333333,0.75,5,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0,0.0,24.8,"0,4,8,12,16,20,24"
01 high viscosity,pH 1.2,22.666666666666664,1,2.567608746822683,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.3333333333333333,0.75,5,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0,0.0,24.8,"0,4,8,12,16,20,24"
01 high viscosity,pH 1.2,23.0,1,2.4674188109093977,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.3333333333333333,0.75,5,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0,0.0,24.8,"0,4,8,12,16,20,24"
01 high viscosity,pH 1.2,23.333333333333332,1,2.4249015901026065,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.3333333333333333,0.75,5,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0,0.0,24.8,"0,4,8,12,16,20,24"
01 high viscosity,pH 1.2,23.666666666666664,1,2.392367033757667,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.3333333333333333,0.75,5,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0,0.0,24.8,"0,4,8,12,16,20,24"
01 high viscosity,pH 1.2,24.0,1,2.375816998301976,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.3333333333333333,0.75,5,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0,0.0,24.8,"0,4,8,12,16,20,24"
01 high viscosity,pH 4.5,0.0,1,1.2352320590631625,0.0,01-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,145,0.3333333333333333,0.75,5,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0,0.0,24.8,"0,4,8,12,16,20,24"
01 high viscosity,pH 4.5,0.3333333333333333,1,1.377196783582282,0.0,01-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,145,0.3333333333333333,0.75,5,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0,0.0,24.8,"0,4,8,12,16,20,24"
01 high viscosity,pH 4.5,0.6666666666666666,1,1.6228395199041874,0.0,01-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,145,0.3333333333333333,0.75,5,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0,0.0,24.8,"0,4,8,12,16,20,24"
01 high viscosity,pH 4.5,1.0,1,1.76427452198185,0.0,01-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,145,0.3333333333333333,0.75,5,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0,0.0,24.8,"0,4,8,12,16,20,24"
01 high viscosity,pH 4.5,1.3333333333333333,1,1.882047836961754,0.0,01-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,145,0.3333333333333333,0.75,5,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0,0.0,24.8,"0,4,8,12,16,20,24"
01 high viscosity,pH 4.5,1.6666666666666665,1,1.9810524273952517,0.0,01-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,145,0.3333333333333333,0.75,5,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0,0.0,24.8,"0,4,8,12,16,20,24"
01 high viscosity,pH 4.5,2.0,1,2.0717796449554617,0.0,01-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,145,0.3333333333333333,0.75,5,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0,0.0,24.8,"0,4,8,12,16,20,24"
01 high viscosity,pH 4.5,2.333333333333333,1,2.1533822303331647,0.0,01-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,145,0.3333333333333333,0.75,5,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0,0.0,24.8,"0,4,8,12,16,20,24"
01 high viscosity,pH 4.5,2.6666666666666665,1,2.230882877656361,0.0,01-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,145,0.3333333333333333,0.75,5,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0,0.0,24.8,"0,4,8,12,16,20,24"
01 high viscosity,pH 4.5,3.0,1,2.321398858753634,0.0,01-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,145,0.3333333333333333,0.75,5,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0,0.0,24.8,"0,4,8,12,16,20,24"
