analysis,value,group,n_total,group_ns,replicate_definition,test,comparison,statistic,p_value,p_adjusted,correction,notes
Fig. 5a K4M/K100LV ratio,k4m_k100lv_ratio,formulation_group,15,Standard: n=3; GPT-5-mini: n=3; Qwen3.6-plus: n=3; GLM-4.6V: n=3; Kimi-K2.5: n=3,Each point is one independently recommended or measured formulation replicate.,Tukey HSD,GLM-4.6V vs Standard,-0.1191,,0.0094,Tukey HSD family-wise correction,reject=True; lower=-0.2086; upper=-0.0296
Fig. 5a K4M/K100LV ratio,k4m_k100lv_ratio,formulation_group,15,Standard: n=3; GPT-5-mini: n=3; Qwen3.6-plus: n=3; GLM-4.6V: n=3; Kimi-K2.5: n=3,Each point is one independently recommended or measured formulation replicate.,Tukey HSD,GPT-5-mini vs Kimi-K2.5,-0.2761,,0.0,Tukey HSD family-wise correction,reject=True; lower=-0.3655; upper=-0.1866
Fig. 5a K4M/K100LV ratio,k4m_k100lv_ratio,formulation_group,15,Standard: n=3; GPT-5-mini: n=3; Qwen3.6-plus: n=3; GLM-4.6V: n=3; Kimi-K2.5: n=3,Each point is one independently recommended or measured formulation replicate.,Tukey HSD,GPT-5-mini vs Qwen3.6-plus,-0.1133,,0.013,Tukey HSD family-wise correction,reject=True; lower=-0.2028; upper=-0.0238
Fig. 5a K4M/K100LV ratio,k4m_k100lv_ratio,formulation_group,15,Standard: n=3; GPT-5-mini: n=3; Qwen3.6-plus: n=3; GLM-4.6V: n=3; Kimi-K2.5: n=3,Each point is one independently recommended or measured formulation replicate.,Tukey HSD,GPT-5-mini vs Standard,-0.3336,,0.0,Tukey HSD family-wise correction,reject=True; lower=-0.423; upper=-0.2441
Fig. 5a K4M/K100LV ratio,k4m_k100lv_ratio,formulation_group,15,Standard: n=3; GPT-5-mini: n=3; Qwen3.6-plus: n=3; GLM-4.6V: n=3; Kimi-K2.5: n=3,Each point is one independently recommended or measured formulation replicate.,Tukey HSD,Kimi-K2.5 vs Qwen3.6-plus,0.1628,,0.001,Tukey HSD family-wise correction,reject=True; lower=0.0733; upper=0.2522
Fig. 5a K4M/K100LV ratio,k4m_k100lv_ratio,formulation_group,15,Standard: n=3; GPT-5-mini: n=3; Qwen3.6-plus: n=3; GLM-4.6V: n=3; Kimi-K2.5: n=3,Each point is one independently recommended or measured formulation replicate.,Tukey HSD,Kimi-K2.5 vs Standard,-0.0575,,0.2854,Tukey HSD family-wise correction,reject=False; lower=-0.147; upper=0.032
Fig. 5a K4M/K100LV ratio,k4m_k100lv_ratio,formulation_group,15,Standard: n=3; GPT-5-mini: n=3; Qwen3.6-plus: n=3; GLM-4.6V: n=3; Kimi-K2.5: n=3,Each point is one independently recommended or measured formulation replicate.,Tukey HSD,Qwen3.6-plus vs Standard,-0.2203,,0.0001,Tukey HSD family-wise correction,reject=True; lower=-0.3097; upper=-0.1308
Fig. 5b relative early release,relative_early_release,formulation_group,12,Standard: n=3; GPT-5-mini: n=3; Qwen3.6-plus: n=3; Gemini 2.5 Flash: n=3,Each point is one independent UV-release replicate summarized as AUC0-4h/AUC0-8h.,Shapiro-Wilk normality check,Standard,0.8074743250204409,0.13246982008005936,,,
Fig. 5b relative early release,relative_early_release,formulation_group,12,Standard: n=3; GPT-5-mini: n=3; Qwen3.6-plus: n=3; Gemini 2.5 Flash: n=3,Each point is one independent UV-release replicate summarized as AUC0-4h/AUC0-8h.,Shapiro-Wilk normality check,GPT-5-mini,0.983237394812139,0.7520335179483162,,,
Fig. 5b relative early release,relative_early_release,formulation_group,12,Standard: n=3; GPT-5-mini: n=3; Qwen3.6-plus: n=3; Gemini 2.5 Flash: n=3,Each point is one independent UV-release replicate summarized as AUC0-4h/AUC0-8h.,Shapiro-Wilk normality check,Qwen3.6-plus,0.9438795604508557,0.543216596964651,,,
Fig. 5b relative early release,relative_early_release,formulation_group,12,Standard: n=3; GPT-5-mini: n=3; Qwen3.6-plus: n=3; Gemini 2.5 Flash: n=3,Each point is one independent UV-release replicate summarized as AUC0-4h/AUC0-8h.,Shapiro-Wilk normality check,Gemini 2.5 Flash,0.8755720106826947,0.31149289927838775,,,
Fig. 5b relative early release,relative_early_release,formulation_group,12,Standard: n=3; GPT-5-mini: n=3; Qwen3.6-plus: n=3; Gemini 2.5 Flash: n=3,Each point is one independent UV-release replicate summarized as AUC0-4h/AUC0-8h.,Levene variance check,all groups,0.10017838479286181,0.9576591330530516,,,Median-centered Levene test used for variance check.
Fig. 5b relative early release,relative_early_release,formulation_group,12,Standard: n=3; GPT-5-mini: n=3; Qwen3.6-plus: n=3; Gemini 2.5 Flash: n=3,Each point is one independent UV-release replicate summarized as AUC0-4h/AUC0-8h.,One-way ANOVA,overall,1.9176615702563726,0.20525792178870145,,,Auto-selected parametric test. Levene p=0.957659.
Fig. 5b relative early release,relative_early_release,formulation_group,12,Standard: n=3; GPT-5-mini: n=3; Qwen3.6-plus: n=3; Gemini 2.5 Flash: n=3,Each point is one independent UV-release replicate summarized as AUC0-4h/AUC0-8h.,Tukey HSD,GPT-5-mini vs Gemini 2.5 Flash,0.0302,,0.8978,Tukey HSD family-wise correction,reject=False; lower=-0.1098; upper=0.1703
Fig. 5b relative early release,relative_early_release,formulation_group,12,Standard: n=3; GPT-5-mini: n=3; Qwen3.6-plus: n=3; Gemini 2.5 Flash: n=3,Each point is one independent UV-release replicate summarized as AUC0-4h/AUC0-8h.,Tukey HSD,GPT-5-mini vs Qwen3.6-plus,-0.0148,,0.9856,Tukey HSD family-wise correction,reject=False; lower=-0.1549; upper=0.1252
Fig. 5b relative early release,relative_early_release,formulation_group,12,Standard: n=3; GPT-5-mini: n=3; Qwen3.6-plus: n=3; Gemini 2.5 Flash: n=3,Each point is one independent UV-release replicate summarized as AUC0-4h/AUC0-8h.,Tukey HSD,GPT-5-mini vs Standard,-0.0719,,0.409,Tukey HSD family-wise correction,reject=False; lower=-0.2119; upper=0.0682
Fig. 5b relative early release,relative_early_release,formulation_group,12,Standard: n=3; GPT-5-mini: n=3; Qwen3.6-plus: n=3; Gemini 2.5 Flash: n=3,Each point is one independent UV-release replicate summarized as AUC0-4h/AUC0-8h.,Tukey HSD,Gemini 2.5 Flash vs Qwen3.6-plus,-0.045,,0.7378,Tukey HSD family-wise correction,reject=False; lower=-0.1851; upper=0.095
Fig. 5b relative early release,relative_early_release,formulation_group,12,Standard: n=3; GPT-5-mini: n=3; Qwen3.6-plus: n=3; Gemini 2.5 Flash: n=3,Each point is one independent UV-release replicate summarized as AUC0-4h/AUC0-8h.,Tukey HSD,Gemini 2.5 Flash vs Standard,-0.1021,,0.169,Tukey HSD family-wise correction,reject=False; lower=-0.2421; upper=0.038
Fig. 5b relative early release,relative_early_release,formulation_group,12,Standard: n=3; GPT-5-mini: n=3; Qwen3.6-plus: n=3; Gemini 2.5 Flash: n=3,Each point is one independent UV-release replicate summarized as AUC0-4h/AUC0-8h.,Tukey HSD,Qwen3.6-plus vs Standard,-0.057,,0.5852,Tukey HSD family-wise correction,reject=False; lower=-0.1971; upper=0.083
Fig. 5a K4M/K100LV ratio versus control,k4m_k100lv_ratio,formulation_group,15,Standard: n=3; GPT-5-mini: n=3; Qwen3.6-plus: n=3; GLM-4.6V: n=3; Kimi-K2.5: n=3,Each point is one independently recommended or measured formulation replicate.,Dunnett,GPT-5-mini vs Standard,12.268621469539964,,3.416257432498071e-08,Dunnett multiple comparisons versus control,
Fig. 5a K4M/K100LV ratio versus control,k4m_k100lv_ratio,formulation_group,15,Standard: n=3; GPT-5-mini: n=3; Qwen3.6-plus: n=3; GLM-4.6V: n=3; Kimi-K2.5: n=3,Each point is one independently recommended or measured formulation replicate.,Dunnett,Qwen3.6-plus vs Standard,8.10158010277983,,2.5006119481973954e-05,Dunnett multiple comparisons versus control,
Fig. 5a K4M/K100LV ratio versus control,k4m_k100lv_ratio,formulation_group,15,Standard: n=3; GPT-5-mini: n=3; Qwen3.6-plus: n=3; GLM-4.6V: n=3; Kimi-K2.5: n=3,Each point is one independently recommended or measured formulation replicate.,Dunnett,GLM-4.6V vs Standard,4.3813090856213295,,0.004468557679417673,Dunnett multiple comparisons versus control,
Fig. 5a K4M/K100LV ratio versus control,k4m_k100lv_ratio,formulation_group,15,Standard: n=3; GPT-5-mini: n=3; Qwen3.6-plus: n=3; GLM-4.6V: n=3; Kimi-K2.5: n=3,Each point is one independently recommended or measured formulation replicate.,Dunnett,Kimi-K2.5 vs Standard,2.115069766795985,,0.1726301387874597,Dunnett multiple comparisons versus control,
Fig. 5b relative early release versus control,relative_early_release,formulation_group,12,Standard: n=3; GPT-5-mini: n=3; Qwen3.6-plus: n=3; Gemini 2.5 Flash: n=3,Each point is one independent UV-release replicate summarized as AUC0-4h/AUC0-8h.,Dunnett,GPT-5-mini vs Standard,1.643683705621103,,0.3003422911596201,Dunnett multiple comparisons versus control,
Fig. 5b relative early release versus control,relative_early_release,formulation_group,12,Standard: n=3; GPT-5-mini: n=3; Qwen3.6-plus: n=3; Gemini 2.5 Flash: n=3,Each point is one independent UV-release replicate summarized as AUC0-4h/AUC0-8h.,Dunnett,Qwen3.6-plus vs Standard,1.3044803062295238,,0.46223820463760656,Dunnett multiple comparisons versus control,
Fig. 5b relative early release versus control,relative_early_release,formulation_group,12,Standard: n=3; GPT-5-mini: n=3; Qwen3.6-plus: n=3; Gemini 2.5 Flash: n=3,Each point is one independent UV-release replicate summarized as AUC0-4h/AUC0-8h.,Dunnett,Gemini 2.5 Flash vs Standard,2.3344368113764338,,0.11218877187348253,Dunnett multiple comparisons versus control,
