formulation_group_fig4,pH_condition_fig4,real_time_h,n_videos,mean_smoothed_normalized_projected_area,sd_smoothed_normalized_projected_area,source_videos,raw_points_in_trace,downsample_interval_h,smoothing_window_h,smoothing_window_points,smoothing_method,downsampling_method,y_axis_min,y_axis_max
01 high viscosity,pH 1.2,6.5,1,3.013754439363366,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.5,0.5,3,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0
01 high viscosity,pH 1.2,7.0,1,3.0928830534628386,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.5,0.5,3,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0
01 high viscosity,pH 1.2,7.5,1,3.135826630801397,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.5,0.5,3,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0
01 high viscosity,pH 1.2,8.0,1,3.207566545421528,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.5,0.5,3,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0
01 high viscosity,pH 1.2,8.5,1,3.2537571435691475,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.5,0.5,3,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0
01 high viscosity,pH 1.2,9.0,1,3.2993526190578404,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.5,0.5,3,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0
01 high viscosity,pH 1.2,9.5,1,3.3471450150088358,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.5,0.5,3,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0
01 high viscosity,pH 1.2,10.0,1,3.3640783765685502,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.5,0.5,3,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0
01 high viscosity,pH 1.2,10.5,1,3.391689896682561,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.5,0.5,3,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0
01 high viscosity,pH 1.2,11.0,1,3.395595204081179,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.5,0.5,3,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0
01 high viscosity,pH 1.2,11.5,1,3.4049548155835283,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.5,0.5,3,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0
01 high viscosity,pH 1.2,12.0,1,3.4075642754677706,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.5,0.5,3,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0
01 high viscosity,pH 1.2,12.5,1,3.4165029585886413,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.5,0.5,3,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0
01 high viscosity,pH 1.2,13.0,1,3.413448883848934,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.5,0.5,3,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0
01 high viscosity,pH 1.2,13.5,1,3.4078909514215088,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.5,0.5,3,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0
01 high viscosity,pH 1.2,14.0,1,3.401782801942094,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.5,0.5,3,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0
01 high viscosity,pH 1.2,14.5,1,3.3656347752967846,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.5,0.5,3,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0
01 high viscosity,pH 1.2,15.0,1,3.34045309263928,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.5,0.5,3,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0
01 high viscosity,pH 1.2,15.5,1,3.3171845862244402,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.5,0.5,3,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0
01 high viscosity,pH 1.2,16.0,1,3.275884258018735,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.5,0.5,3,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0
01 high viscosity,pH 1.2,16.5,1,3.2329806516050303,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.5,0.5,3,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0
01 high viscosity,pH 1.2,17.0,1,3.1909628206247995,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.5,0.5,3,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0
01 high viscosity,pH 1.2,17.5,1,3.1677535303949274,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.5,0.5,3,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0
01 high viscosity,pH 1.2,18.0,1,3.1071970857741507,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.5,0.5,3,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0
01 high viscosity,pH 1.2,18.5,1,3.0615404202276566,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.5,0.5,3,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0
01 high viscosity,pH 1.2,19.0,1,3.0126658484963773,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.5,0.5,3,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0
01 high viscosity,pH 1.2,19.5,1,2.9525885615056304,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.5,0.5,3,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0
01 high viscosity,pH 1.2,20.0,1,2.9041729152078517,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.5,0.5,3,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0
01 high viscosity,pH 1.2,20.5,1,2.8470668002978567,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.5,0.5,3,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0
01 high viscosity,pH 1.2,21.0,1,2.791740131746142,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.5,0.5,3,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0
01 high viscosity,pH 1.2,21.5,1,2.750842473598217,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.5,0.5,3,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0
01 high viscosity,pH 1.2,22.0,1,2.7386306158532583,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.5,0.5,3,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0
01 high viscosity,pH 1.2,22.5,1,2.629220818634149,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.5,0.5,3,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0
01 high viscosity,pH 1.2,23.0,1,2.4641285622853104,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.5,0.5,3,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0
01 high viscosity,pH 1.2,23.5,1,2.407770545178742,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.5,0.5,3,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0
01 high viscosity,pH 1.2,24.0,1,2.369261766626054,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.5,0.5,3,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0
01 high viscosity,pH 4.5,0.0,1,1.122411708230303,0.0,01-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,145,0.5,0.5,3,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0
01 high viscosity,pH 4.5,0.5,1,1.547053500483602,0.0,01-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,145,0.5,0.5,3,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0
01 high viscosity,pH 4.5,1.0,1,1.7722092658717272,0.0,01-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,145,0.5,0.5,3,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0
01 high viscosity,pH 4.5,1.5,1,1.933939221913069,0.0,01-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,145,0.5,0.5,3,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0
01 high viscosity,pH 4.5,2.0,1,2.0732882565043007,0.0,01-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,145,0.5,0.5,3,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0
01 high viscosity,pH 4.5,2.5,1,2.1919434140166456,0.0,01-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,145,0.5,0.5,3,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0
01 high viscosity,pH 4.5,3.0,1,2.3216290181122963,0.0,01-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,145,0.5,0.5,3,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0
01 high viscosity,pH 4.5,3.5,1,2.4454114498942188,0.0,01-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,145,0.5,0.5,3,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0
01 high viscosity,pH 4.5,4.0,1,2.53154829327641,0.0,01-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,145,0.5,0.5,3,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0
01 high viscosity,pH 4.5,4.5,1,2.6275748707503936,0.0,01-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,145,0.5,0.5,3,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0
01 high viscosity,pH 4.5,5.0,1,2.719632385675902,0.0,01-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,145,0.5,0.5,3,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0
01 high viscosity,pH 4.5,5.5,1,2.809782187979097,0.0,01-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,145,0.5,0.5,3,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0
01 high viscosity,pH 4.5,6.0,1,2.8962882947653275,0.0,01-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,145,0.5,0.5,3,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0
01 high viscosity,pH 4.5,6.5,1,3.072972973774587,0.0,01-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,145,0.5,0.5,3,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0
01 high viscosity,pH 4.5,7.0,1,3.1403094160388445,0.0,01-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,145,0.5,0.5,3,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0
01 high viscosity,pH 4.5,7.5,1,3.2530409360367565,0.0,01-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,145,0.5,0.5,3,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0
01 high viscosity,pH 4.5,8.0,1,3.322295175225124,0.0,01-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,145,0.5,0.5,3,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0
01 high viscosity,pH 4.5,8.5,1,3.3737002002327108,0.0,01-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,145,0.5,0.5,3,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0
01 high viscosity,pH 4.5,9.0,1,3.435102030889403,0.0,01-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,145,0.5,0.5,3,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0
01 high viscosity,pH 4.5,9.5,1,3.5000262488443834,0.0,01-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,145,0.5,0.5,3,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0
01 high viscosity,pH 4.5,10.0,1,3.5780986167600504,0.0,01-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,145,0.5,0.5,3,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0
01 high viscosity,pH 4.5,10.5,1,3.6228910091627746,0.0,01-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,145,0.5,0.5,3,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0
01 high viscosity,pH 4.5,11.0,1,3.6425939552915447,0.0,01-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,145,0.5,0.5,3,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0
01 high viscosity,pH 4.5,11.5,1,3.6725923803608818,0.0,01-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,145,0.5,0.5,3,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0
01 high viscosity,pH 4.5,12.0,1,3.697662251225465,0.0,01-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,145,0.5,0.5,3,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0
01 high viscosity,pH 4.5,12.5,1,3.7220793118472453,0.0,01-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,145,0.5,0.5,3,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0
01 high viscosity,pH 4.5,13.0,1,3.7455152292235945,0.0,01-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,145,0.5,0.5,3,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0
01 high viscosity,pH 4.5,13.5,1,3.7742676498267724,0.0,01-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,145,0.5,0.5,3,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0
01 high viscosity,pH 4.5,14.0,1,3.7982169768034364,0.0,01-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,145,0.5,0.5,3,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0
01 high viscosity,pH 4.5,14.5,1,3.790542229941656,0.0,01-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,145,0.5,0.5,3,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0
01 high viscosity,pH 4.5,15.0,1,3.8145372328735188,0.0,01-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,145,0.5,0.5,3,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0
01 high viscosity,pH 4.5,15.5,1,3.8264969182077113,0.0,01-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,145,0.5,0.5,3,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0
01 high viscosity,pH 4.5,16.0,1,3.8172596977616116,0.0,01-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,145,0.5,0.5,3,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0
01 high viscosity,pH 4.5,16.5,1,3.7987541141726857,0.0,01-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,145,0.5,0.5,3,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0
01 high viscosity,pH 4.5,17.0,1,3.7895990511265207,0.0,01-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,145,0.5,0.5,3,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0
01 high viscosity,pH 4.5,17.5,1,3.7776915668839828,0.0,01-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,145,0.5,0.5,3,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0
01 high viscosity,pH 4.5,18.0,1,3.7621365313620303,0.0,01-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,145,0.5,0.5,3,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0
01 high viscosity,pH 4.5,18.5,1,3.69176649383953,0.0,01-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,145,0.5,0.5,3,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0
01 high viscosity,pH 4.5,19.0,1,3.6812663628919053,0.0,01-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,145,0.5,0.5,3,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0
01 high viscosity,pH 4.5,19.5,1,3.6447730542710435,0.0,01-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,145,0.5,0.5,3,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0
01 high viscosity,pH 4.5,20.0,1,3.6145293433903483,0.0,01-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,145,0.5,0.5,3,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0
01 high viscosity,pH 4.5,20.5,1,3.5946057290104902,0.0,01-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,145,0.5,0.5,3,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0
01 high viscosity,pH 4.5,21.0,1,3.551724608395419,0.0,01-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,145,0.5,0.5,3,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0
01 high viscosity,pH 4.5,21.5,1,3.527004425525503,0.0,01-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,145,0.5,0.5,3,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0
01 high viscosity,pH 4.5,22.0,1,3.493814022340288,0.0,01-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,145,0.5,0.5,3,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0
01 high viscosity,pH 4.5,22.5,1,3.4681224839296276,0.0,01-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,145,0.5,0.5,3,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0
01 high viscosity,pH 4.5,23.0,1,3.449385257996481,0.0,01-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,145,0.5,0.5,3,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0
01 high viscosity,pH 4.5,23.5,1,3.4220066752145955,0.0,01-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,145,0.5,0.5,3,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0
01 high viscosity,pH 4.5,24.0,1,3.3890470245822653,0.0,01-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,145,0.5,0.5,3,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0
01 high viscosity,pH 6.8,0.0,1,1.123006591692052,0.0,01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,145,0.5,0.5,3,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0
01 high viscosity,pH 6.8,0.5,1,1.5007366956930106,0.0,01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,145,0.5,0.5,3,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0
01 high viscosity,pH 6.8,1.0,1,1.7756782233529382,0.0,01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,145,0.5,0.5,3,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0
01 high viscosity,pH 6.8,1.5,1,1.940629167715797,0.0,01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,145,0.5,0.5,3,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0
01 high viscosity,pH 6.8,2.0,1,2.066485027636398,0.0,01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,145,0.5,0.5,3,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0
