formulation_group_fig4,pH_condition_fig4,real_time_h,n_videos,mean_normalized_projected_area,sd_normalized_projected_area,source_videos,y_axis_min,y_axis_max
01 high viscosity,pH 1.2,2.1666666666666665,1,2.1512899505692897,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,2.333333333333333,1,2.195120290277739,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,2.5,1,2.246034366112946,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,2.6666666666666665,1,2.2933851080177234,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,2.833333333333333,1,2.3293071262237395,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,3.0,1,2.354130550962189,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,3.1666666666666665,1,2.3954205163355247,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,3.333333333333333,1,2.4265016114204334,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,3.5,1,2.463858141707292,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,3.666666666666667,1,2.509057855693118,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,3.833333333333333,1,2.561427169273906,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,4.0,1,2.6121976458605665,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,4.166666666666667,1,2.626302941119867,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,4.333333333333333,1,2.6597082714647566,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,4.500000000000001,1,2.6962594616360542,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,4.666666666666667,1,2.72950786909078,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,4.833333333333333,1,2.7374946520382952,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,5.0,1,2.793353279318304,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,5.166666666666667,1,2.8200731023803427,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,5.333333333333333,1,2.842744018795217,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,5.5,1,2.871474231336909,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,5.666666666666667,1,2.8986973919711736,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,5.833333333333333,1,2.8898401311046333,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,6.0,1,2.935632006940137,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,6.166666666666667,1,2.9619861700600008,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,6.333333333333333,1,2.988343293989113,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,6.5,1,3.013609359710196,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,6.666666666666667,1,3.0393106643907912,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,6.833333333333332,1,3.059324254505241,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,7.0,1,3.0740350352558363,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,7.166666666666667,1,3.14528987062744,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,7.333333333333334,1,3.126442839356853,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,7.5,1,3.1435311499339,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,7.666666666666666,1,3.137505903113439,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,7.833333333333333,1,3.1959271107979235,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,8.0,1,3.2270540984261817,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,8.166666666666668,1,3.199718427040479,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,8.333333333333334,1,3.256114441199069,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,8.499999999999998,1,3.223082172819475,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,8.666666666666666,1,3.2820748166888976,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,8.833333333333334,1,3.268940666863067,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,9.000000000000002,1,3.3121433150108586,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,9.166666666666666,1,3.3169738752995968,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,9.333333333333334,1,3.3339274690558423,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,9.5,1,3.341803221656543,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,9.666666666666666,1,3.365704354314121,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,9.833333333333334,1,3.359042533505258,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,10.0,1,3.3610928939097637,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,10.166666666666666,1,3.37209970229063,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,10.333333333333334,1,3.3788784750648047,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,10.5,1,3.392661042116031,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,10.666666666666666,1,3.403530172866848,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,10.833333333333334,1,3.3861013692262367,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,11.0,1,3.4034591134448866,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,11.166666666666666,1,3.3972251295724147,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,11.333333333333334,1,3.411043226334622,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,11.5,1,3.4074502843117083,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,11.666666666666666,1,3.396370936104256,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,11.833333333333334,1,3.4048684586471176,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,12.0,1,3.409787843213307,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,12.166666666666666,1,3.408036524542888,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,12.333333333333334,1,3.4164496640221707,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,12.5,1,3.415823452866137,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,12.666666666666666,1,3.4172357588776165,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,12.833333333333334,1,3.413021046912542,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,13.0,1,3.4157701582996665,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,13.166666666666666,1,3.4115554463345923,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,13.333333333333334,1,3.4083355662769748,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,13.5,1,3.409904795178618,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,13.666666666666664,1,3.4054324928089343,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,13.833333333333336,1,3.4030697670287244,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,14.0,1,3.3992295974335707,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,14.166666666666666,1,3.403049041363986,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,14.333333333333334,1,3.376043500209477,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,14.499999999999998,1,3.3640655463951408,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,14.666666666666668,1,3.3567952792857345,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,14.833333333333334,1,3.3521320047195298,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,15.0,1,3.3364885690556942,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,15.166666666666666,1,3.332738704142616,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,15.333333333333332,1,3.3346365828708304,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,15.500000000000002,1,3.316275124316978,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,15.666666666666666,1,3.300642051485512,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,15.833333333333334,1,3.289886911890758,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,16.0,1,3.276801615417526,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,16.166666666666664,1,3.260964246747921,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,16.333333333333336,1,3.248148383916292,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,16.5,1,3.235835858656888,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,16.666666666666668,1,3.21495771224191,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,16.833333333333332,1,3.1955407251910093,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,16.999999999999996,1,3.1733761071576083,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,17.166666666666668,1,3.203971629525782,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,17.333333333333332,1,3.188292664150966,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,17.5,1,3.165663199065569,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,17.666666666666668,1,3.149304727968248,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,17.833333333333332,1,3.129026145426068,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,18.000000000000004,1,3.1058385677973503,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,18.166666666666668,1,3.086726544099033,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,18.33333333333333,1,3.0825162733478315,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,18.5,1,3.0534322441009576,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,18.666666666666668,1,3.0486727432341807,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,18.83333333333333,1,3.03357853768592,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,19.0,1,3.018003200634797,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,19.166666666666668,1,2.9864158071684157,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,19.33333333333333,1,2.9677863953775847,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,19.5,1,2.952908328904456,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,19.666666666666668,1,2.9370709602348515,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,19.83333333333333,1,2.9189078759006413,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,20.0,1,2.9054835667684693,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,20.166666666666668,1,2.888127302954444,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,20.33333333333333,1,2.8673794321463943,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,20.5,1,2.845860270529141,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,20.666666666666668,1,2.8279606982180368,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,20.83333333333333,1,2.807879009490874,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,21.0,1,2.793575340011932,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,21.166666666666668,1,2.7737660457356204,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,21.33333333333333,1,2.7645549681638983,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,21.5,1,2.750873068627117,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,21.666666666666668,1,2.737099384003636,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,21.83333333333333,1,2.734391723945989,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,22.0,1,2.739764112327181,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,22.166666666666668,1,2.741736011286605,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,22.33333333333333,1,2.7865434180470205,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,22.5,1,2.582358610255355,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,22.666666666666668,1,2.518760427600072,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,22.83333333333333,1,2.491189371879122,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,23.0,1,2.4591919063318386,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,23.166666666666668,1,2.442004408644971,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,23.33333333333333,1,2.425947940090986,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,23.5,1,2.40843623379142,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,23.666666666666668,1,2.3889274616538194,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,23.83333333333333,1,2.3773447758741417,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,23.991666666666667,1,2.3611787573779663,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 4.5,0.0,1,1.0,0.0,01-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,0.0,5.0
01 high viscosity,pH 4.5,0.1666666666666666,1,1.2448234164606058,0.0,01-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,0.0,5.0
01 high viscosity,pH 4.5,0.3333333333333333,1,1.4608727607288814,0.0,01-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,0.0,5.0
01 high viscosity,pH 4.5,0.5,1,1.5466041558594097,0.0,01-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,0.0,5.0
01 high viscosity,pH 4.5,0.6666666666666666,1,1.633683584862514,0.0,01-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,0.0,5.0
01 high viscosity,pH 4.5,0.8333333333333334,1,1.7082062785456182,0.0,01-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,0.0,5.0
01 high viscosity,pH 4.5,1.0,1,1.7648308195245133,0.0,01-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,0.0,5.0
01 high viscosity,pH 4.5,1.1666666666666667,1,1.8435906995450495,0.0,01-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,0.0,5.0
01 high viscosity,pH 4.5,1.3333333333333333,1,1.871061227431555,0.0,01-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,0.0,5.0
01 high viscosity,pH 4.5,1.5,1,1.944420074048435,0.0,01-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,0.0,5.0
01 high viscosity,pH 4.5,1.6666666666666667,1,1.9863363642592176,0.0,01-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,0.0,5.0
01 high viscosity,pH 4.5,1.8333333333333333,1,2.028783859897016,0.0,01-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,0.0,5.0
01 high viscosity,pH 4.5,2.0,1,2.0746606113400348,0.0,01-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,0.0,5.0
01 high viscosity,pH 4.5,2.1666666666666665,1,2.1164202982758518,0.0,01-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,0.0,5.0
01 high viscosity,pH 4.5,2.333333333333333,1,2.1526970910051886,0.0,01-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,0.0,5.0
01 high viscosity,pH 4.5,2.5,1,2.1917971916405885,0.0,01-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,0.0,5.0
01 high viscosity,pH 4.5,2.6666666666666665,1,2.23133595940416,0.0,01-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,0.0,5.0
01 high viscosity,pH 4.5,2.833333333333333,1,2.270370215480768,0.0,01-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,0.0,5.0
01 high viscosity,pH 4.5,3.0,1,2.3082139307511,0.0,01-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,0.0,5.0
