formulation_group_fig4,pH_condition_fig4,source_videos,n_videos,marker_time_h,marker_y,marker_interval_h
02 low viscosity,pH 4.5,02-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1,6.0,2.8551027742560224,2.0
02 low viscosity,pH 4.5,02-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1,8.0,3.021445328488285,2.0
02 low viscosity,pH 4.5,02-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1,10.0,3.0186590929510535,2.0
02 low viscosity,pH 4.5,02-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1,12.0,2.823309806896873,2.0
02 low viscosity,pH 4.5,02-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1,14.0,2.597714574743855,2.0
02 low viscosity,pH 4.5,02-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1,16.0,2.382876947087148,2.0
02 low viscosity,pH 4.5,02-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1,18.0,2.1909647835534574,2.0
02 low viscosity,pH 4.5,02-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1,20.0,1.8694116394299083,2.0
02 low viscosity,pH 4.5,02-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1,22.0,1.7640404907607992,2.0
02 low viscosity,pH 4.5,02-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1,24.0,1.667572340187169,2.0
02 low viscosity,pH 6.8,02-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1,0.0,1.2175749136108103,2.0
02 low viscosity,pH 6.8,02-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1,2.0,2.135574501005725,2.0
02 low viscosity,pH 6.8,02-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1,4.0,2.4598728144824387,2.0
02 low viscosity,pH 6.8,02-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1,6.0,2.7420250657589356,2.0
02 low viscosity,pH 6.8,02-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1,8.0,2.9086578988086034,2.0
02 low viscosity,pH 6.8,02-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1,10.0,3.0752470988704936,2.0
02 low viscosity,pH 6.8,02-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1,12.0,3.0585842488008668,2.0
02 low viscosity,pH 6.8,02-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1,14.0,2.971515085873434,2.0
02 low viscosity,pH 6.8,02-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1,16.0,2.891342720099025,2.0
02 low viscosity,pH 6.8,02-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1,18.0,2.7258273247717772,2.0
02 low viscosity,pH 6.8,02-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1,20.0,2.6133795451028936,2.0
02 low viscosity,pH 6.8,02-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1,22.0,2.546963329723039,2.0
02 low viscosity,pH 6.8,02-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1,24.0,2.553414822837692,2.0
03 standard viscosity,pH 1.2,03-pH1.2T-亲水凝胶空白制剂-251203-Side-24h-750X-2.mp4,1,0.0,1.244700422541898,2.0
03 standard viscosity,pH 1.2,03-pH1.2T-亲水凝胶空白制剂-251203-Side-24h-750X-2.mp4,1,2.0,2.106767335356568,2.0
03 standard viscosity,pH 1.2,03-pH1.2T-亲水凝胶空白制剂-251203-Side-24h-750X-2.mp4,1,4.0,2.5575024925224326,2.0
03 standard viscosity,pH 1.2,03-pH1.2T-亲水凝胶空白制剂-251203-Side-24h-750X-2.mp4,1,6.0,2.89007592606795,2.0
03 standard viscosity,pH 1.2,03-pH1.2T-亲水凝胶空白制剂-251203-Side-24h-750X-2.mp4,1,8.0,3.051998126499622,2.0
03 standard viscosity,pH 1.2,03-pH1.2T-亲水凝胶空白制剂-251203-Side-24h-750X-2.mp4,1,10.0,3.003353401334458,2.0
03 standard viscosity,pH 1.2,03-pH1.2T-亲水凝胶空白制剂-251203-Side-24h-750X-2.mp4,1,12.0,2.8829582680529837,2.0
03 standard viscosity,pH 1.2,03-pH1.2T-亲水凝胶空白制剂-251203-Side-24h-750X-2.mp4,1,14.0,2.6575487822247545,2.0
03 standard viscosity,pH 1.2,03-pH1.2T-亲水凝胶空白制剂-251203-Side-24h-750X-2.mp4,1,16.0,2.4427588114776553,2.0
03 standard viscosity,pH 1.2,03-pH1.2T-亲水凝胶空白制剂-251203-Side-24h-750X-2.mp4,1,18.0,2.190137828273422,2.0
03 standard viscosity,pH 1.2,03-pH1.2T-亲水凝胶空白制剂-251203-Side-24h-750X-2.mp4,1,20.0,1.9409652909403659,2.0
03 standard viscosity,pH 1.2,03-pH1.2T-亲水凝胶空白制剂-251203-Side-24h-750X-2.mp4,1,22.0,1.6816344921280115,2.0
03 standard viscosity,pH 1.2,03-pH1.2T-亲水凝胶空白制剂-251203-Side-24h-750X-2.mp4,1,24.0,1.4754436324725457,2.0
03 standard viscosity,pH 4.5,03-pH4.5T-亲水凝胶空白制剂-251203-Side-24h-750X-1.mp4,1,0.0,1.2208129912399155,2.0
03 standard viscosity,pH 4.5,03-pH4.5T-亲水凝胶空白制剂-251203-Side-24h-750X-1.mp4,1,2.0,2.122694505037914,2.0
03 standard viscosity,pH 4.5,03-pH4.5T-亲水凝胶空白制剂-251203-Side-24h-750X-1.mp4,1,4.0,2.586496015670213,2.0
03 standard viscosity,pH 4.5,03-pH4.5T-亲水凝胶空白制剂-251203-Side-24h-750X-1.mp4,1,6.0,2.915222959236671,2.0
03 standard viscosity,pH 4.5,03-pH4.5T-亲水凝胶空白制剂-251203-Side-24h-750X-1.mp4,1,8.0,3.1601742124085535,2.0
03 standard viscosity,pH 4.5,03-pH4.5T-亲水凝胶空白制剂-251203-Side-24h-750X-1.mp4,1,10.0,3.3674706554482183,2.0
03 standard viscosity,pH 4.5,03-pH4.5T-亲水凝胶空白制剂-251203-Side-24h-750X-1.mp4,1,12.0,3.4281238777842082,2.0
03 standard viscosity,pH 4.5,03-pH4.5T-亲水凝胶空白制剂-251203-Side-24h-750X-1.mp4,1,14.0,3.443544792176765,2.0
03 standard viscosity,pH 4.5,03-pH4.5T-亲水凝胶空白制剂-251203-Side-24h-750X-1.mp4,1,16.0,3.338792087729451,2.0
03 standard viscosity,pH 4.5,03-pH4.5T-亲水凝胶空白制剂-251203-Side-24h-750X-1.mp4,1,18.0,3.215615901705026,2.0
03 standard viscosity,pH 4.5,03-pH4.5T-亲水凝胶空白制剂-251203-Side-24h-750X-1.mp4,1,20.0,3.0453257950110553,2.0
03 standard viscosity,pH 4.5,03-pH4.5T-亲水凝胶空白制剂-251203-Side-24h-750X-1.mp4,1,22.0,2.844008666102776,2.0
03 standard viscosity,pH 4.5,03-pH4.5T-亲水凝胶空白制剂-251203-Side-24h-750X-1.mp4,1,24.0,2.768994445186405,2.0
03 standard viscosity,pH 6.8,03-pH6.8T-亲水凝胶空白制剂-251203-Side-24h-750X-1.mp4,1,0.0,1.2150179416916222,2.0
03 standard viscosity,pH 6.8,03-pH6.8T-亲水凝胶空白制剂-251203-Side-24h-750X-1.mp4,1,2.0,1.9382172249219152,2.0
03 standard viscosity,pH 6.8,03-pH6.8T-亲水凝胶空白制剂-251203-Side-24h-750X-1.mp4,1,4.0,2.374200481005952,2.0
03 standard viscosity,pH 6.8,03-pH6.8T-亲水凝胶空白制剂-251203-Side-24h-750X-1.mp4,1,6.0,2.7338070558514658,2.0
03 standard viscosity,pH 6.8,03-pH6.8T-亲水凝胶空白制剂-251203-Side-24h-750X-1.mp4,1,8.0,3.038272449314035,2.0
03 standard viscosity,pH 6.8,03-pH6.8T-亲水凝胶空白制剂-251203-Side-24h-750X-1.mp4,1,10.0,3.2603322742422356,2.0
03 standard viscosity,pH 6.8,03-pH6.8T-亲水凝胶空白制剂-251203-Side-24h-750X-1.mp4,1,12.0,3.3134153368164108,2.0
03 standard viscosity,pH 6.8,03-pH6.8T-亲水凝胶空白制剂-251203-Side-24h-750X-1.mp4,1,14.0,3.3493064025873154,2.0
03 standard viscosity,pH 6.8,03-pH6.8T-亲水凝胶空白制剂-251203-Side-24h-750X-1.mp4,1,16.0,3.2628926506660596,2.0
03 standard viscosity,pH 6.8,03-pH6.8T-亲水凝胶空白制剂-251203-Side-24h-750X-1.mp4,1,18.0,3.2599718939272626,2.0
03 standard viscosity,pH 6.8,03-pH6.8T-亲水凝胶空白制剂-251203-Side-24h-750X-1.mp4,1,20.0,3.287325478199835,2.0
03 standard viscosity,pH 6.8,03-pH6.8T-亲水凝胶空白制剂-251203-Side-24h-750X-1.mp4,1,22.0,3.3052412288250372,2.0
03 standard viscosity,pH 6.8,03-pH6.8T-亲水凝胶空白制剂-251203-Side-24h-750X-1.mp4,1,24.0,3.273834164193542,2.0
