model_bucket,primary_drug_label,primary_pH_label,reference_manufacturer_label,manufacturer_label,manufacturer_pair,batch_pair,comparison_scope,repeat_group_base_key,repeat_group_model_key,replicate_count,complete_replicate_group,replicate_ids,replicate_1_verdict,replicate_2_verdict,replicate_3_verdict,replicate_1_path,replicate_2_path,replicate_3_path,consistency_status,consensus_verdict,same_count,different_count,unknown_count,potential_false_positive_count,potential_false_negative_count,potential_error_replicates,manual_review_flag
slot_2,地若孕素,pH4.5,唯散宁,唯散宁,唯散宁 vs 唯散宁,WE127F vs WE127F,same_manufacturer,地若孕素 || pH4.5 || 唯散宁 vs 唯散宁 || WE127F vs WE127F,地若孕素 || pH4.5 || 唯散宁 vs 唯散宁 || WE127F vs WE127F || slot_2,3,1,"1,2,3",same,same,same,地若孕素/pH4.5/side/01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1-2.docx,地若孕素/pH4.5/side/01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-2-2.docx,地若孕素/pH4.5/side/01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-3-2.docx,consistent,same,3,0,0,0,0,,0
slot_3,地若孕素,pH4.5,唯散宁,唯散宁,唯散宁 vs 唯散宁,WE127F vs WE127F,same_manufacturer,地若孕素 || pH4.5 || 唯散宁 vs 唯散宁 || WE127F vs WE127F,地若孕素 || pH4.5 || 唯散宁 vs 唯散宁 || WE127F vs WE127F || slot_3,3,1,"1,2,3",same,same,different,地若孕素/pH4.5/side/01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1-3.docx,地若孕素/pH4.5/side/01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-2-3.docx,地若孕素/pH4.5/side/01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-3-3.docx,inconsistent,same,2,1,0,0,1,3,1
slot_1,地若孕素,pH4.5,唯散宁,小仙片,唯散宁 vs 小仙片,WE127F vs 101250301,cross_manufacturer,地若孕素 || pH4.5 || 唯散宁 vs 小仙片 || WE127F vs 101250301,地若孕素 || pH4.5 || 唯散宁 vs 小仙片 || WE127F vs 101250301 || slot_1,3,1,"1,2,3",same,same,same,地若孕素/pH4.5/side/01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs05-pH4.5T-地诺孕素片2mg-小仙片-101250301-Side-15min-处理后原片-1-1.docx,地若孕素/pH4.5/side/01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs05-pH4.5T-地诺孕素片2mg-小仙片-101250301-Side-15min-处理后原片-2-1.docx,地若孕素/pH4.5/side/01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs05-pH4.5T-地诺孕素片2mg-小仙片-101250301-Side-15min-处理后原片-3-1.docx,consistent,same,3,0,0,0,0,,0
slot_2,地若孕素,pH4.5,唯散宁,小仙片,唯散宁 vs 小仙片,WE127F vs 101250301,cross_manufacturer,地若孕素 || pH4.5 || 唯散宁 vs 小仙片 || WE127F vs 101250301,地若孕素 || pH4.5 || 唯散宁 vs 小仙片 || WE127F vs 101250301 || slot_2,3,1,"1,2,3",same,same,same,地若孕素/pH4.5/side/01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs05-pH4.5T-地诺孕素片2mg-小仙片-101250301-Side-15min-处理后原片-1-2.docx,地若孕素/pH4.5/side/01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs05-pH4.5T-地诺孕素片2mg-小仙片-101250301-Side-15min-处理后原片-2-2.docx,地若孕素/pH4.5/side/01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs05-pH4.5T-地诺孕素片2mg-小仙片-101250301-Side-15min-处理后原片-3-2.docx,consistent,same,3,0,0,0,0,,0
slot_3,地若孕素,pH4.5,唯散宁,小仙片,唯散宁 vs 小仙片,WE127F vs 101250301,cross_manufacturer,地若孕素 || pH4.5 || 唯散宁 vs 小仙片 || WE127F vs 101250301,地若孕素 || pH4.5 || 唯散宁 vs 小仙片 || WE127F vs 101250301 || slot_3,3,1,"1,2,3",same,same,same,地若孕素/pH4.5/side/01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs05-pH4.5T-地诺孕素片2mg-小仙片-101250301-Side-15min-处理后原片-1-3.docx,地若孕素/pH4.5/side/01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs05-pH4.5T-地诺孕素片2mg-小仙片-101250301-Side-15min-处理后原片-2-3.docx,地若孕素/pH4.5/side/01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs05-pH4.5T-地诺孕素片2mg-小仙片-101250301-Side-15min-处理后原片-3-3.docx,consistent,same,3,0,0,0,0,,0
slot_1,地若孕素,pH4.5,唯散宁,紫竹,唯散宁 vs 紫竹,WE127F vs 43250634,cross_manufacturer,地若孕素 || pH4.5 || 唯散宁 vs 紫竹 || WE127F vs 43250634,地若孕素 || pH4.5 || 唯散宁 vs 紫竹 || WE127F vs 43250634 || slot_1,3,1,"1,2,3",same,same,same,地若孕素/pH4.5/side/01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs02-pH4.5T-地诺孕素片2mg-紫竹-43250634-Side-15min-处理后原片-1-1.docx,地若孕素/pH4.5/side/01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs02-pH4.5T-地诺孕素片2mg-紫竹-43250634-Side-15min-处理后原片-2-1.docx,地若孕素/pH4.5/side/01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs02-pH4.5T-地诺孕素片2mg-紫竹-43250634-Side-15min-处理后原片-3-1.docx,consistent,same,3,0,0,0,0,,0
slot_2,地若孕素,pH4.5,唯散宁,紫竹,唯散宁 vs 紫竹,WE127F vs 43250634,cross_manufacturer,地若孕素 || pH4.5 || 唯散宁 vs 紫竹 || WE127F vs 43250634,地若孕素 || pH4.5 || 唯散宁 vs 紫竹 || WE127F vs 43250634 || slot_2,3,1,"1,2,3",same,same,same,地若孕素/pH4.5/side/01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs02-pH4.5T-地诺孕素片2mg-紫竹-43250634-Side-15min-处理后原片-1-2.docx,地若孕素/pH4.5/side/01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs02-pH4.5T-地诺孕素片2mg-紫竹-43250634-Side-15min-处理后原片-2-2.docx,地若孕素/pH4.5/side/01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs02-pH4.5T-地诺孕素片2mg-紫竹-43250634-Side-15min-处理后原片-3-2.docx,consistent,same,3,0,0,0,0,,0
slot_3,地若孕素,pH4.5,唯散宁,紫竹,唯散宁 vs 紫竹,WE127F vs 43250634,cross_manufacturer,地若孕素 || pH4.5 || 唯散宁 vs 紫竹 || WE127F vs 43250634,地若孕素 || pH4.5 || 唯散宁 vs 紫竹 || WE127F vs 43250634 || slot_3,3,1,"1,2,3",same,same,same,地若孕素/pH4.5/side/01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs02-pH4.5T-地诺孕素片2mg-紫竹-43250634-Side-15min-处理后原片-1-3.docx,地若孕素/pH4.5/side/01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs02-pH4.5T-地诺孕素片2mg-紫竹-43250634-Side-15min-处理后原片-2-3.docx,地若孕素/pH4.5/side/01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs02-pH4.5T-地诺孕素片2mg-紫竹-43250634-Side-15min-处理后原片-3-3.docx,consistent,same,3,0,0,0,0,,0
slot_1,地若孕素,pH4.5,唯散宁,蒂诺安,唯散宁 vs 蒂诺安,WE127F vs DEA241203,cross_manufacturer,地若孕素 || pH4.5 || 唯散宁 vs 蒂诺安 || WE127F vs DEA241203,地若孕素 || pH4.5 || 唯散宁 vs 蒂诺安 || WE127F vs DEA241203 || slot_1,3,1,"1,2,3",same,same,same,地若孕素/pH4.5/side/01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs04-pH4.5T-地诺孕素片2mg-蒂诺安-DEA241203-Side-15min-处理后原片-1-1.docx,地若孕素/pH4.5/side/01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs04-pH4.5T-地诺孕素片2mg-蒂诺安-DEA241203-Side-15min-处理后原片-2-1.docx,地若孕素/pH4.5/side/01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs04-pH4.5T-地诺孕素片2mg-蒂诺安-DEA241203-Side-15min-处理后原片-3-1.docx,consistent,same,3,0,0,0,0,,0
slot_2,地若孕素,pH4.5,唯散宁,蒂诺安,唯散宁 vs 蒂诺安,WE127F vs DEA241203,cross_manufacturer,地若孕素 || pH4.5 || 唯散宁 vs 蒂诺安 || WE127F vs DEA241203,地若孕素 || pH4.5 || 唯散宁 vs 蒂诺安 || WE127F vs DEA241203 || slot_2,3,1,"1,2,3",same,same,same,地若孕素/pH4.5/side/01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs04-pH4.5T-地诺孕素片2mg-蒂诺安-DEA241203-Side-15min-处理后原片-1-2.docx,地若孕素/pH4.5/side/01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs04-pH4.5T-地诺孕素片2mg-蒂诺安-DEA241203-Side-15min-处理后原片-2-2.docx,地若孕素/pH4.5/side/01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs04-pH4.5T-地诺孕素片2mg-蒂诺安-DEA241203-Side-15min-处理后原片-3-2.docx,consistent,same,3,0,0,0,0,,0
slot_3,地若孕素,pH4.5,唯散宁,蒂诺安,唯散宁 vs 蒂诺安,WE127F vs DEA241203,cross_manufacturer,地若孕素 || pH4.5 || 唯散宁 vs 蒂诺安 || WE127F vs DEA241203,地若孕素 || pH4.5 || 唯散宁 vs 蒂诺安 || WE127F vs DEA241203 || slot_3,3,1,"1,2,3",same,same,different,地若孕素/pH4.5/side/01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs04-pH4.5T-地诺孕素片2mg-蒂诺安-DEA241203-Side-15min-处理后原片-1-3.docx,地若孕素/pH4.5/side/01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs04-pH4.5T-地诺孕素片2mg-蒂诺安-DEA241203-Side-15min-处理后原片-2-3.docx,地若孕素/pH4.5/side/01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs04-pH4.5T-地诺孕素片2mg-蒂诺安-DEA241203-Side-15min-处理后原片-3-3.docx,inconsistent,same,2,1,0,0,1,3,1
slot_1,替米沙坦,pH1.2,美卡素,安内强,美卡素 vs 安内强,D68415 vs 220711301,cross_manufacturer,替米沙坦 || pH1.2 || 美卡素 vs 安内强 || D68415 vs 220711301,替米沙坦 || pH1.2 || 美卡素 vs 安内强 || D68415 vs 220711301 || slot_1,2,0,"1,2",mixed,same,,替米沙坦/pH1.2/side/221105-01-pH1.2T-替米沙坦片80mg-美卡素-D68415-60min-20X-Side-1vs221107-03-pH1.2T-替米沙坦片80mg-安内强-220711301-60min-20X-Side-1-1.docx,替米沙坦/pH1.2/side/221105-01-pH1.2T-替米沙坦片80mg-美卡素-D68415-60min-20X-Side-1vs221107-03-pH1.2T-替米沙坦片80mg-安内强-220711301-60min-20X-Side-2-1.docx,,insufficient,same,1,0,0,0,0,,1
slot_2,替米沙坦,pH1.2,美卡素,安内强,美卡素 vs 安内强,D68415 vs 220711301,cross_manufacturer,替米沙坦 || pH1.2 || 美卡素 vs 安内强 || D68415 vs 220711301,替米沙坦 || pH1.2 || 美卡素 vs 安内强 || D68415 vs 220711301 || slot_2,2,0,"1,2",mixed,mixed,,替米沙坦/pH1.2/side/221105-01-pH1.2T-替米沙坦片80mg-美卡素-D68415-60min-20X-Side-1vs221107-03-pH1.2T-替米沙坦片80mg-安内强-220711301-60min-20X-Side-1-2.docx,替米沙坦/pH1.2/side/221105-01-pH1.2T-替米沙坦片80mg-美卡素-D68415-60min-20X-Side-1vs221107-03-pH1.2T-替米沙坦片80mg-安内强-220711301-60min-20X-Side-2-2.docx,,insufficient,,0,0,0,0,0,,1
slot_3,替米沙坦,pH1.2,美卡素,安内强,美卡素 vs 安内强,D68415 vs 220711301,cross_manufacturer,替米沙坦 || pH1.2 || 美卡素 vs 安内强 || D68415 vs 220711301,替米沙坦 || pH1.2 || 美卡素 vs 安内强 || D68415 vs 220711301 || slot_3,2,0,"1,2",different,mixed,,替米沙坦/pH1.2/side/221105-01-pH1.2T-替米沙坦片80mg-美卡素-D68415-60min-20X-Side-1vs221107-03-pH1.2T-替米沙坦片80mg-安内强-220711301-60min-20X-Side-1-3.docx,替米沙坦/pH1.2/side/221105-01-pH1.2T-替米沙坦片80mg-美卡素-D68415-60min-20X-Side-1vs221107-03-pH1.2T-替米沙坦片80mg-安内强-220711301-60min-20X-Side-2-3.docx,,insufficient,different,0,1,0,0,0,,1
slot_1,替米沙坦,pH1.2,美卡素,欧美宁,美卡素 vs 欧美宁,D68415 vs 0602204007,cross_manufacturer,替米沙坦 || pH1.2 || 美卡素 vs 欧美宁 || D68415 vs 0602204007,替米沙坦 || pH1.2 || 美卡素 vs 欧美宁 || D68415 vs 0602204007 || slot_1,2,0,"1,2",mixed,mixed,,替米沙坦/pH1.2/side/221105-01-pH1.2T-替米沙坦片80mg-美卡素-D68415-60min-20X-Side-1vs221108-04-pH1.2T-替米沙坦片80mg-欧美宁-0602204007-60min-20X-Side-1-1.docx,替米沙坦/pH1.2/side/221105-01-pH1.2T-替米沙坦片80mg-美卡素-D68415-60min-20X-Side-1vs221108-04-pH1.2T-替米沙坦片80mg-欧美宁-0602204007-60min-20X-Side-2-1.docx,,insufficient,,0,0,0,0,0,,1
slot_2,替米沙坦,pH1.2,美卡素,欧美宁,美卡素 vs 欧美宁,D68415 vs 0602204007,cross_manufacturer,替米沙坦 || pH1.2 || 美卡素 vs 欧美宁 || D68415 vs 0602204007,替米沙坦 || pH1.2 || 美卡素 vs 欧美宁 || D68415 vs 0602204007 || slot_2,2,0,"1,2",mixed,same,,替米沙坦/pH1.2/side/221105-01-pH1.2T-替米沙坦片80mg-美卡素-D68415-60min-20X-Side-1vs221108-04-pH1.2T-替米沙坦片80mg-欧美宁-0602204007-60min-20X-Side-1-2.docx,替米沙坦/pH1.2/side/221105-01-pH1.2T-替米沙坦片80mg-美卡素-D68415-60min-20X-Side-1vs221108-04-pH1.2T-替米沙坦片80mg-欧美宁-0602204007-60min-20X-Side-2-2.docx,,insufficient,same,1,0,0,0,0,,1
slot_3,替米沙坦,pH1.2,美卡素,欧美宁,美卡素 vs 欧美宁,D68415 vs 0602204007,cross_manufacturer,替米沙坦 || pH1.2 || 美卡素 vs 欧美宁 || D68415 vs 0602204007,替米沙坦 || pH1.2 || 美卡素 vs 欧美宁 || D68415 vs 0602204007 || slot_3,2,0,"1,2",different,same,,替米沙坦/pH1.2/side/221105-01-pH1.2T-替米沙坦片80mg-美卡素-D68415-60min-20X-Side-1vs221108-04-pH1.2T-替米沙坦片80mg-欧美宁-0602204007-60min-20X-Side-1-3.docx,替米沙坦/pH1.2/side/221105-01-pH1.2T-替米沙坦片80mg-美卡素-D68415-60min-20X-Side-1vs221108-04-pH1.2T-替米沙坦片80mg-欧美宁-0602204007-60min-20X-Side-2-3.docx,,inconsistent,,1,1,0,0,0,,1
slot_1,替米沙坦,pH1.2,美卡素,毓乐宁,美卡素 vs 毓乐宁,D68415 vs 50722002A,cross_manufacturer,替米沙坦 || pH1.2 || 美卡素 vs 毓乐宁 || D68415 vs 50722002A,替米沙坦 || pH1.2 || 美卡素 vs 毓乐宁 || D68415 vs 50722002A || slot_1,2,0,"1,2",mixed,same,,替米沙坦/pH1.2/side/221105-01-pH1.2T-替米沙坦片80mg-美卡素-D68415-60min-20X-Side-1vs221109-05-pH1.2T-替米沙坦片80mg-毓乐宁-50722002A-60min-20X-Side-1-1.docx,替米沙坦/pH1.2/side/221105-01-pH1.2T-替米沙坦片80mg-美卡素-D68415-60min-20X-Side-1vs221109-05-pH1.2T-替米沙坦片80mg-毓乐宁-50722002A-60min-20X-Side-2-1.docx,,insufficient,same,1,0,0,0,0,,1
slot_2,替米沙坦,pH1.2,美卡素,毓乐宁,美卡素 vs 毓乐宁,D68415 vs 50722002A,cross_manufacturer,替米沙坦 || pH1.2 || 美卡素 vs 毓乐宁 || D68415 vs 50722002A,替米沙坦 || pH1.2 || 美卡素 vs 毓乐宁 || D68415 vs 50722002A || slot_2,2,0,"1,2",mixed,same,,替米沙坦/pH1.2/side/221105-01-pH1.2T-替米沙坦片80mg-美卡素-D68415-60min-20X-Side-1vs221109-05-pH1.2T-替米沙坦片80mg-毓乐宁-50722002A-60min-20X-Side-1-2.docx,替米沙坦/pH1.2/side/221105-01-pH1.2T-替米沙坦片80mg-美卡素-D68415-60min-20X-Side-1vs221109-05-pH1.2T-替米沙坦片80mg-毓乐宁-50722002A-60min-20X-Side-2-2.docx,,insufficient,same,1,0,0,0,0,,1
slot_3,替米沙坦,pH1.2,美卡素,毓乐宁,美卡素 vs 毓乐宁,D68415 vs 50722002A,cross_manufacturer,替米沙坦 || pH1.2 || 美卡素 vs 毓乐宁 || D68415 vs 50722002A,替米沙坦 || pH1.2 || 美卡素 vs 毓乐宁 || D68415 vs 50722002A || slot_3,2,0,"1,2",same,same,,替米沙坦/pH1.2/side/221105-01-pH1.2T-替米沙坦片80mg-美卡素-D68415-60min-20X-Side-1vs221109-05-pH1.2T-替米沙坦片80mg-毓乐宁-50722002A-60min-20X-Side-1-3.docx,替米沙坦/pH1.2/side/221105-01-pH1.2T-替米沙坦片80mg-美卡素-D68415-60min-20X-Side-1vs221109-05-pH1.2T-替米沙坦片80mg-毓乐宁-50722002A-60min-20X-Side-2-3.docx,,consistent,same,2,0,0,0,0,,0
slot_1,替米沙坦,pH1.2,美卡素,美卡素,美卡素 vs 美卡素,D68415 vs D68415,same_manufacturer,替米沙坦 || pH1.2 || 美卡素 vs 美卡素 || D68415 vs D68415,替米沙坦 || pH1.2 || 美卡素 vs 美卡素 || D68415 vs D68415 || slot_1,3,1,"1,2,3",mixed,mixed,same,替米沙坦/pH1.2/side/221105-01-pH1.2T-替米沙坦片80mg-美卡素-D68415-60min-20X-Side-1vs221105-01-pH1.2T-替米沙坦片80mg-美卡素-D68415-60min-20X-Side-1-1.docx,替米沙坦/pH1.2/side/221105-01-pH1.2T-替米沙坦片80mg-美卡素-D68415-60min-20X-Side-1vs221105-01-pH1.2T-替米沙坦片80mg-美卡素-D68415-60min-20X-Side-2-1.docx,替米沙坦/pH1.2/side/221105-01-pH1.2T-替米沙坦片80mg-美卡素-D68415-60min-20X-Side-1vs221105-01-pH1.2T-替米沙坦片80mg-美卡素-D68415-60min-20X-Side-3-1.docx,insufficient,same,1,0,0,0,0,,1
