relative_path,file_name,extension,status,read_error,size_bytes,drug_root_label,primary_drug_label,primary_pH_label,condition_folder,view_folder,variant_label,model_label,model_label_source,model_bucket,comparison_pair_id,reference_manufacturer_label,manufacturer_label,reference_batch_label,comparison_batch_label,batch_pair,comparison_scope,sample_replicate_id,left_replicate_id,right_replicate_id,repeat_group_base_key,repeat_group_model_key,repeat_observation_key,repeat_group_complete,repeat_group_consistency_status,repeat_group_consensus_verdict,potential_error_label,left_product_name,left_manufacturer_label,left_batch_label,right_product_name,right_manufacturer_label,right_batch_label,manufacturer_pair,verdict,verdict_raw,char_count,word_count,has_experiment_section,experiment_fields_expected,experiment_fields_present,experiment_completeness_pct,experiment_time_interval_present,experiment_other_conditions_present,has_image_analysis_section,image_analysis_block_count,dimension_coverage_count,dimension_coverage_pct,dimension_avg_words,dimension_generic_count,dimension_duplicate_count,dimension_detail_score_pct,has_mechanism_section,mechanism_hypothesis_count,mechanism_follow_up_item_count,mechanism_evidence_trace_count,reference_trace_level,possible_placeholder_reference,mechanism_score_pct,reference_verify_placeholder,has_final_report_section,comparison_table_present,comparison_table_rows,reason_keyword_count,evidence_link_count,judgment_basis_clear,reasoning_score_pct,structural_completeness_pct,overall_quality_score_pct
咪唑斯汀/side/231014-01-pH6.8T-咪唑斯汀缓释片10mg-皿治林-24h-Side-750X-0vs231018-02-pH6.8T-咪唑斯汀缓释片10mg-奥尼捷-24h-Side-750X-0-3.docx,231014-01-pH6.8T-咪唑斯汀缓释片10mg-皿治林-24h-Side-750X-0vs231018-02-pH6.8T-咪唑斯汀缓释片10mg-奥尼捷-24h-Side-750X-0-3.docx,.docx,ok,,32712,咪唑斯汀,咪唑斯汀,pH6.8,,side,slot_3,,variant_fallback,slot_3,231014-01-pH6.8T-咪唑斯汀缓释片10mg-皿治林-24h-Side-750X-0vs231018-02-pH6.8T-咪唑斯汀缓释片10mg-奥尼捷-24h-Side-750X-0,皿治林,奥尼捷,,,,cross_manufacturer,0,0,0,咪唑斯汀 || pH6.8 || 皿治林 vs 奥尼捷,咪唑斯汀 || pH6.8 || 皿治林 vs 奥尼捷 || slot_3,咪唑斯汀 || pH6.8 || 皿治林 vs 奥尼捷 || 0,0,insufficient,same,,咪唑斯汀缓释片10mg,皿治林,,咪唑斯汀缓释片10mg,奥尼捷,,皿治林 vs 奥尼捷,same,same,54381,7726,1,6,6,100.0,1,1,1,8,8,100.0,48.48,1,0,99.45,1,0,0,6,structured,0,40.0,0,1,1,6,0,7,0,72.5,100.0,86.79
地若孕素/pH4.5/side/01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1-1.docx,01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1-1.docx,.docx,ok,,30608,地若孕素,地若孕素,pH4.5,pH4.5,side,slot_1,,variant_fallback,slot_1,01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1,唯散宁,唯散宁,WE127F,WE127F,WE127F vs WE127F,same_manufacturer,1,1,1,地若孕素 || pH4.5 || 唯散宁 vs 唯散宁 || WE127F vs WE127F,地若孕素 || pH4.5 || 唯散宁 vs 唯散宁 || WE127F vs WE127F || slot_1,地若孕素 || pH4.5 || 唯散宁 vs 唯散宁 || WE127F vs WE127F || 1,1,consistent,same,,地诺孕素片2mg,唯散宁,WE127F,地诺孕素片2mg,唯散宁,WE127F,唯散宁 vs 唯散宁,same,same,46925,6650,0,6,0,0.0,0,0,1,9,8,100.0,47.97,1,0,99.51,1,0,0,6,generic,1,29.0,0,1,1,6,2,7,1,85.83,75.0,63.4
地若孕素/pH4.5/side/01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1-2.docx,01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1-2.docx,.docx,ok,,32216,地若孕素,地若孕素,pH4.5,pH4.5,side,slot_2,,variant_fallback,slot_2,01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1,唯散宁,唯散宁,WE127F,WE127F,WE127F vs WE127F,same_manufacturer,1,1,1,地若孕素 || pH4.5 || 唯散宁 vs 唯散宁 || WE127F vs WE127F,地若孕素 || pH4.5 || 唯散宁 vs 唯散宁 || WE127F vs WE127F || slot_2,地若孕素 || pH4.5 || 唯散宁 vs 唯散宁 || WE127F vs WE127F || 1,1,consistent,same,,地诺孕素片2mg,唯散宁,WE127F,地诺孕素片2mg,唯散宁,WE127F,唯散宁 vs 唯散宁,same,same,53925,7524,1,6,5,83.33,1,1,1,8,8,100.0,51.36,0,0,100.0,1,0,0,10,structured,0,40.0,0,1,1,6,1,7,1,79.17,100.0,84.54
地若孕素/pH4.5/side/01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1-3.docx,01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1-3.docx,.docx,ok,,32953,地若孕素,地若孕素,pH4.5,pH4.5,side,slot_3,,variant_fallback,slot_3,01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1,唯散宁,唯散宁,WE127F,WE127F,WE127F vs WE127F,same_manufacturer,1,1,1,地若孕素 || pH4.5 || 唯散宁 vs 唯散宁 || WE127F vs WE127F,地若孕素 || pH4.5 || 唯散宁 vs 唯散宁 || WE127F vs WE127F || slot_3,地若孕素 || pH4.5 || 唯散宁 vs 唯散宁 || WE127F vs WE127F || 1,1,inconsistent,same,,地诺孕素片2mg,唯散宁,WE127F,地诺孕素片2mg,唯散宁,WE127F,唯散宁 vs 唯散宁,same,same,56614,7996,1,6,5,83.33,1,1,1,8,8,100.0,56.17,0,0,100.0,1,0,0,6,generic,1,29.0,0,1,1,7,2,7,1,89.58,100.0,84.45
地若孕素/pH4.5/side/01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-2-1.docx,01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-2-1.docx,.docx,ok,,34042,地若孕素,地若孕素,pH4.5,pH4.5,side,slot_1,,variant_fallback,slot_1,01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-2,唯散宁,唯散宁,WE127F,WE127F,WE127F vs WE127F,same_manufacturer,2,1,2,地若孕素 || pH4.5 || 唯散宁 vs 唯散宁 || WE127F vs WE127F,地若孕素 || pH4.5 || 唯散宁 vs 唯散宁 || WE127F vs WE127F || slot_1,地若孕素 || pH4.5 || 唯散宁 vs 唯散宁 || WE127F vs WE127F || 2,1,consistent,same,,地诺孕素片2mg,唯散宁,WE127F,地诺孕素片2mg,唯散宁,WE127F,唯散宁 vs 唯散宁,same,same,57998,8058,1,6,5,83.33,1,1,1,8,8,100.0,52.11,0,0,100.0,1,0,0,7,generic,1,29.0,0,1,1,7,2,7,1,89.58,100.0,84.45
地若孕素/pH4.5/side/01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-2-2.docx,01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-2-2.docx,.docx,ok,,33833,地若孕素,地若孕素,pH4.5,pH4.5,side,slot_2,,variant_fallback,slot_2,01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-2,唯散宁,唯散宁,WE127F,WE127F,WE127F vs WE127F,same_manufacturer,2,1,2,地若孕素 || pH4.5 || 唯散宁 vs 唯散宁 || WE127F vs WE127F,地若孕素 || pH4.5 || 唯散宁 vs 唯散宁 || WE127F vs WE127F || slot_2,地若孕素 || pH4.5 || 唯散宁 vs 唯散宁 || WE127F vs WE127F || 2,1,consistent,same,,地诺孕素片2mg,唯散宁,WE127F,地诺孕素片2mg,唯散宁,WE127F,唯散宁 vs 唯散宁,same,same,58781,8200,1,6,5,83.33,1,1,1,8,8,100.0,52.84,0,0,100.0,1,0,0,13,structured,0,40.0,0,1,1,7,3,7,1,96.25,100.0,87.1
地若孕素/pH4.5/side/01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-2-3.docx,01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-2-3.docx,.docx,ok,,32696,地若孕素,地若孕素,pH4.5,pH4.5,side,slot_3,,variant_fallback,slot_3,01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-2,唯散宁,唯散宁,WE127F,WE127F,WE127F vs WE127F,same_manufacturer,2,1,2,地若孕素 || pH4.5 || 唯散宁 vs 唯散宁 || WE127F vs WE127F,地若孕素 || pH4.5 || 唯散宁 vs 唯散宁 || WE127F vs WE127F || slot_3,地若孕素 || pH4.5 || 唯散宁 vs 唯散宁 || WE127F vs WE127F || 2,1,inconsistent,same,,地诺孕素片2mg,唯散宁,WE127F,地诺孕素片2mg,唯散宁,WE127F,唯散宁 vs 唯散宁,same,same,54219,7616,1,6,5,83.33,1,1,1,8,8,100.0,54.09,0,0,100.0,1,0,0,5,generic,1,29.0,0,1,1,7,2,7,1,89.58,100.0,84.45
地若孕素/pH4.5/side/01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-3-1.docx,01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-3-1.docx,.docx,ok,,33858,地若孕素,地若孕素,pH4.5,pH4.5,side,slot_1,,variant_fallback,slot_1,01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-3,唯散宁,唯散宁,WE127F,WE127F,WE127F vs WE127F,same_manufacturer,3,1,3,地若孕素 || pH4.5 || 唯散宁 vs 唯散宁 || WE127F vs WE127F,地若孕素 || pH4.5 || 唯散宁 vs 唯散宁 || WE127F vs WE127F || slot_1,地若孕素 || pH4.5 || 唯散宁 vs 唯散宁 || WE127F vs WE127F || 3,1,consistent,same,,地诺孕素片2mg,唯散宁,WE127F,地诺孕素片2mg,唯散宁,WE127F,唯散宁 vs 唯散宁,same,same,56245,7883,1,6,5,83.33,1,1,1,8,8,100.0,51.22,0,0,100.0,1,0,0,6,generic,1,29.0,0,1,1,7,1,7,1,82.92,100.0,83.45
地若孕素/pH4.5/side/01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-3-2.docx,01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-3-2.docx,.docx,ok,,32657,地若孕素,地若孕素,pH4.5,pH4.5,side,slot_2,,variant_fallback,slot_2,01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-3,唯散宁,唯散宁,WE127F,WE127F,WE127F vs WE127F,same_manufacturer,3,1,3,地若孕素 || pH4.5 || 唯散宁 vs 唯散宁 || WE127F vs WE127F,地若孕素 || pH4.5 || 唯散宁 vs 唯散宁 || WE127F vs WE127F || slot_2,地若孕素 || pH4.5 || 唯散宁 vs 唯散宁 || WE127F vs WE127F || 3,1,consistent,same,,地诺孕素片2mg,唯散宁,WE127F,地诺孕素片2mg,唯散宁,WE127F,唯散宁 vs 唯散宁,same,same,54439,7624,1,6,5,83.33,1,1,1,8,8,100.0,51,0,0,100.0,1,0,0,6,generic,1,29.0,0,1,1,7,2,7,1,89.58,100.0,84.45
地若孕素/pH4.5/side/01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-3-3.docx,01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-3-3.docx,.docx,ok,,33325,地若孕素,地若孕素,pH4.5,pH4.5,side,slot_3,,variant_fallback,slot_3,01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-3,唯散宁,唯散宁,WE127F,WE127F,WE127F vs WE127F,same_manufacturer,3,1,3,地若孕素 || pH4.5 || 唯散宁 vs 唯散宁 || WE127F vs WE127F,地若孕素 || pH4.5 || 唯散宁 vs 唯散宁 || WE127F vs WE127F || slot_3,地若孕素 || pH4.5 || 唯散宁 vs 唯散宁 || WE127F vs WE127F || 3,1,inconsistent,same,potential_false_negative,地诺孕素片2mg,唯散宁,WE127F,地诺孕素片2mg,唯散宁,WE127F,唯散宁 vs 唯散宁,different,different,57527,8084,1,6,5,83.33,1,1,1,8,8,100.0,53.33,0,0,100.0,1,0,0,6,generic,1,29.0,0,1,1,6,3,7,1,92.5,100.0,84.89
