model_bucket,primary_drug_label,primary_pH_label,reference_manufacturer_label,manufacturer_label,manufacturer_pair,batch_pair,comparison_scope,repeat_group_base_key,repeat_group_model_key,replicate_count,complete_replicate_group,replicate_ids,replicate_1_verdict,replicate_2_verdict,replicate_3_verdict,replicate_1_path,replicate_2_path,replicate_3_path,consistency_status,consensus_verdict,same_count,different_count,unknown_count,potential_false_positive_count,potential_false_negative_count,potential_error_replicates,manual_review_flag
slot_2,地诺孕素片2mg,pH4.5,唯散宁,唯散宁,唯散宁 vs 唯散宁,WE127F vs WE127F,same_manufacturer,地诺孕素片2mg || pH4.5 || 唯散宁 vs 唯散宁 || WE127F vs WE127F,地诺孕素片2mg || pH4.5 || 唯散宁 vs 唯散宁 || WE127F vs WE127F || slot_2,3,1,"1,2,3",same,same,same,地诺孕素/pH4.5/side/01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1-2.docx,地诺孕素/pH4.5/side/01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-2-2.docx,地诺孕素/pH4.5/side/01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-3-2.docx,consistent,same,3,0,0,0,0,,0
slot_3,地诺孕素片2mg,pH4.5,唯散宁,唯散宁,唯散宁 vs 唯散宁,WE127F vs WE127F,same_manufacturer,地诺孕素片2mg || pH4.5 || 唯散宁 vs 唯散宁 || WE127F vs WE127F,地诺孕素片2mg || pH4.5 || 唯散宁 vs 唯散宁 || WE127F vs WE127F || slot_3,3,1,"1,2,3",same,same,different,地诺孕素/pH4.5/side/01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1-3.docx,地诺孕素/pH4.5/side/01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-2-3.docx,地诺孕素/pH4.5/side/01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-3-3.docx,inconsistent,same,2,1,0,0,1,3,1
slot_1,地诺孕素片2mg,pH4.5,唯散宁,小仙片,唯散宁 vs 小仙片,WE127F vs 101250301,cross_manufacturer,地诺孕素片2mg || pH4.5 || 唯散宁 vs 小仙片 || WE127F vs 101250301,地诺孕素片2mg || pH4.5 || 唯散宁 vs 小仙片 || WE127F vs 101250301 || slot_1,3,1,"1,2,3",same,same,same,地诺孕素/pH4.5/side/01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs05-pH4.5T-地诺孕素片2mg-小仙片-101250301-Side-15min-处理后原片-1-1.docx,地诺孕素/pH4.5/side/01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs05-pH4.5T-地诺孕素片2mg-小仙片-101250301-Side-15min-处理后原片-2-1.docx,地诺孕素/pH4.5/side/01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs05-pH4.5T-地诺孕素片2mg-小仙片-101250301-Side-15min-处理后原片-3-1.docx,consistent,same,3,0,0,0,0,,0
slot_2,地诺孕素片2mg,pH4.5,唯散宁,小仙片,唯散宁 vs 小仙片,WE127F vs 101250301,cross_manufacturer,地诺孕素片2mg || pH4.5 || 唯散宁 vs 小仙片 || WE127F vs 101250301,地诺孕素片2mg || pH4.5 || 唯散宁 vs 小仙片 || WE127F vs 101250301 || slot_2,3,1,"1,2,3",same,same,same,地诺孕素/pH4.5/side/01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs05-pH4.5T-地诺孕素片2mg-小仙片-101250301-Side-15min-处理后原片-1-2.docx,地诺孕素/pH4.5/side/01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs05-pH4.5T-地诺孕素片2mg-小仙片-101250301-Side-15min-处理后原片-2-2.docx,地诺孕素/pH4.5/side/01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs05-pH4.5T-地诺孕素片2mg-小仙片-101250301-Side-15min-处理后原片-3-2.docx,consistent,same,3,0,0,0,0,,0
slot_3,地诺孕素片2mg,pH4.5,唯散宁,小仙片,唯散宁 vs 小仙片,WE127F vs 101250301,cross_manufacturer,地诺孕素片2mg || pH4.5 || 唯散宁 vs 小仙片 || WE127F vs 101250301,地诺孕素片2mg || pH4.5 || 唯散宁 vs 小仙片 || WE127F vs 101250301 || slot_3,3,1,"1,2,3",same,same,same,地诺孕素/pH4.5/side/01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs05-pH4.5T-地诺孕素片2mg-小仙片-101250301-Side-15min-处理后原片-1-3.docx,地诺孕素/pH4.5/side/01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs05-pH4.5T-地诺孕素片2mg-小仙片-101250301-Side-15min-处理后原片-2-3.docx,地诺孕素/pH4.5/side/01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs05-pH4.5T-地诺孕素片2mg-小仙片-101250301-Side-15min-处理后原片-3-3.docx,consistent,same,3,0,0,0,0,,0
slot_1,地诺孕素片2mg,pH4.5,唯散宁,紫竹,唯散宁 vs 紫竹,WE127F vs 43250634,cross_manufacturer,地诺孕素片2mg || pH4.5 || 唯散宁 vs 紫竹 || WE127F vs 43250634,地诺孕素片2mg || pH4.5 || 唯散宁 vs 紫竹 || WE127F vs 43250634 || slot_1,3,1,"1,2,3",same,same,same,地诺孕素/pH4.5/side/01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs02-pH4.5T-地诺孕素片2mg-紫竹-43250634-Side-15min-处理后原片-1-1.docx,地诺孕素/pH4.5/side/01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs02-pH4.5T-地诺孕素片2mg-紫竹-43250634-Side-15min-处理后原片-2-1.docx,地诺孕素/pH4.5/side/01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs02-pH4.5T-地诺孕素片2mg-紫竹-43250634-Side-15min-处理后原片-3-1.docx,consistent,same,3,0,0,0,0,,0
slot_2,地诺孕素片2mg,pH4.5,唯散宁,紫竹,唯散宁 vs 紫竹,WE127F vs 43250634,cross_manufacturer,地诺孕素片2mg || pH4.5 || 唯散宁 vs 紫竹 || WE127F vs 43250634,地诺孕素片2mg || pH4.5 || 唯散宁 vs 紫竹 || WE127F vs 43250634 || slot_2,3,1,"1,2,3",same,same,same,地诺孕素/pH4.5/side/01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs02-pH4.5T-地诺孕素片2mg-紫竹-43250634-Side-15min-处理后原片-1-2.docx,地诺孕素/pH4.5/side/01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs02-pH4.5T-地诺孕素片2mg-紫竹-43250634-Side-15min-处理后原片-2-2.docx,地诺孕素/pH4.5/side/01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs02-pH4.5T-地诺孕素片2mg-紫竹-43250634-Side-15min-处理后原片-3-2.docx,consistent,same,3,0,0,0,0,,0
slot_3,地诺孕素片2mg,pH4.5,唯散宁,紫竹,唯散宁 vs 紫竹,WE127F vs 43250634,cross_manufacturer,地诺孕素片2mg || pH4.5 || 唯散宁 vs 紫竹 || WE127F vs 43250634,地诺孕素片2mg || pH4.5 || 唯散宁 vs 紫竹 || WE127F vs 43250634 || slot_3,3,1,"1,2,3",same,same,same,地诺孕素/pH4.5/side/01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs02-pH4.5T-地诺孕素片2mg-紫竹-43250634-Side-15min-处理后原片-1-3.docx,地诺孕素/pH4.5/side/01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs02-pH4.5T-地诺孕素片2mg-紫竹-43250634-Side-15min-处理后原片-2-3.docx,地诺孕素/pH4.5/side/01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs02-pH4.5T-地诺孕素片2mg-紫竹-43250634-Side-15min-处理后原片-3-3.docx,consistent,same,3,0,0,0,0,,0
slot_1,地诺孕素片2mg,pH4.5,唯散宁,蒂诺安,唯散宁 vs 蒂诺安,WE127F vs DEA241203,cross_manufacturer,地诺孕素片2mg || pH4.5 || 唯散宁 vs 蒂诺安 || WE127F vs DEA241203,地诺孕素片2mg || pH4.5 || 唯散宁 vs 蒂诺安 || WE127F vs DEA241203 || slot_1,3,1,"1,2,3",same,same,same,地诺孕素/pH4.5/side/01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs04-pH4.5T-地诺孕素片2mg-蒂诺安-DEA241203-Side-15min-处理后原片-1-1.docx,地诺孕素/pH4.5/side/01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs04-pH4.5T-地诺孕素片2mg-蒂诺安-DEA241203-Side-15min-处理后原片-2-1.docx,地诺孕素/pH4.5/side/01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs04-pH4.5T-地诺孕素片2mg-蒂诺安-DEA241203-Side-15min-处理后原片-3-1.docx,consistent,same,3,0,0,0,0,,0
slot_2,地诺孕素片2mg,pH4.5,唯散宁,蒂诺安,唯散宁 vs 蒂诺安,WE127F vs DEA241203,cross_manufacturer,地诺孕素片2mg || pH4.5 || 唯散宁 vs 蒂诺安 || WE127F vs DEA241203,地诺孕素片2mg || pH4.5 || 唯散宁 vs 蒂诺安 || WE127F vs DEA241203 || slot_2,3,1,"1,2,3",same,same,same,地诺孕素/pH4.5/side/01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs04-pH4.5T-地诺孕素片2mg-蒂诺安-DEA241203-Side-15min-处理后原片-1-2.docx,地诺孕素/pH4.5/side/01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs04-pH4.5T-地诺孕素片2mg-蒂诺安-DEA241203-Side-15min-处理后原片-2-2.docx,地诺孕素/pH4.5/side/01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs04-pH4.5T-地诺孕素片2mg-蒂诺安-DEA241203-Side-15min-处理后原片-3-2.docx,consistent,same,3,0,0,0,0,,0
slot_3,地诺孕素片2mg,pH4.5,唯散宁,蒂诺安,唯散宁 vs 蒂诺安,WE127F vs DEA241203,cross_manufacturer,地诺孕素片2mg || pH4.5 || 唯散宁 vs 蒂诺安 || WE127F vs DEA241203,地诺孕素片2mg || pH4.5 || 唯散宁 vs 蒂诺安 || WE127F vs DEA241203 || slot_3,3,1,"1,2,3",same,same,different,地诺孕素/pH4.5/side/01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs04-pH4.5T-地诺孕素片2mg-蒂诺安-DEA241203-Side-15min-处理后原片-1-3.docx,地诺孕素/pH4.5/side/01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs04-pH4.5T-地诺孕素片2mg-蒂诺安-DEA241203-Side-15min-处理后原片-2-3.docx,地诺孕素/pH4.5/side/01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs04-pH4.5T-地诺孕素片2mg-蒂诺安-DEA241203-Side-15min-处理后原片-3-3.docx,inconsistent,same,2,1,0,0,1,3,1
slot_1,硝苯地平控释片30mg,,拜新同,一品红,拜新同 vs 一品红,BJ86516 vs 302125001,cross_manufacturer,硝苯地平控释片30mg || 拜新同 vs 一品红 || BJ86516 vs 302125001,硝苯地平控释片30mg || 拜新同 vs 一品红 || BJ86516 vs 302125001 || slot_1,1,0,1,same,,,硝苯地平/side/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1vs07-硝苯地平控释片30mg-一品红-302125001-Side-36h-750X-1-1.docx,,,insufficient,same,1,0,0,0,0,,1
slot_2,硝苯地平控释片30mg,,拜新同,一品红,拜新同 vs 一品红,BJ86516 vs 302125001,cross_manufacturer,硝苯地平控释片30mg || 拜新同 vs 一品红 || BJ86516 vs 302125001,硝苯地平控释片30mg || 拜新同 vs 一品红 || BJ86516 vs 302125001 || slot_2,1,0,1,same,,,硝苯地平/side/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1vs07-硝苯地平控释片30mg-一品红-302125001-Side-36h-750X-1-2.docx,,,insufficient,same,1,0,0,0,0,,1
slot_3,硝苯地平控释片30mg,,拜新同,一品红,拜新同 vs 一品红,BJ86516 vs 302125001,cross_manufacturer,硝苯地平控释片30mg || 拜新同 vs 一品红 || BJ86516 vs 302125001,硝苯地平控释片30mg || 拜新同 vs 一品红 || BJ86516 vs 302125001 || slot_3,1,0,1,same,,,硝苯地平/side/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1vs07-硝苯地平控释片30mg-一品红-302125001-Side-36h-750X-1-3.docx,,,insufficient,same,1,0,0,0,0,,1
slot_1,硝苯地平控释片30mg,,拜新同,久保平,拜新同 vs 久保平,BJ86516 vs 22400938,cross_manufacturer,硝苯地平控释片30mg || 拜新同 vs 久保平 || BJ86516 vs 22400938,硝苯地平控释片30mg || 拜新同 vs 久保平 || BJ86516 vs 22400938 || slot_1,1,0,1,same,,,硝苯地平/side/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1vs05-硝苯地平控释片30mg-久保平-22400938-Side-36h-750X-1-1.docx,,,insufficient,same,1,0,0,0,0,,1
slot_2,硝苯地平控释片30mg,,拜新同,久保平,拜新同 vs 久保平,BJ86516 vs 22400938,cross_manufacturer,硝苯地平控释片30mg || 拜新同 vs 久保平 || BJ86516 vs 22400938,硝苯地平控释片30mg || 拜新同 vs 久保平 || BJ86516 vs 22400938 || slot_2,1,0,1,same,,,硝苯地平/side/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1vs05-硝苯地平控释片30mg-久保平-22400938-Side-36h-750X-1-2.docx,,,insufficient,same,1,0,0,0,0,,1
slot_3,硝苯地平控释片30mg,,拜新同,久保平,拜新同 vs 久保平,BJ86516 vs 22400938,cross_manufacturer,硝苯地平控释片30mg || 拜新同 vs 久保平 || BJ86516 vs 22400938,硝苯地平控释片30mg || 拜新同 vs 久保平 || BJ86516 vs 22400938 || slot_3,1,0,1,same,,,硝苯地平/side/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1vs05-硝苯地平控释片30mg-久保平-22400938-Side-36h-750X-1-3.docx,,,insufficient,same,1,0,0,0,0,,1
slot_1,硝苯地平控释片30mg,,拜新同,亚宝,拜新同 vs 亚宝,BJ86516 vs 241001,cross_manufacturer,硝苯地平控释片30mg || 拜新同 vs 亚宝 || BJ86516 vs 241001,硝苯地平控释片30mg || 拜新同 vs 亚宝 || BJ86516 vs 241001 || slot_1,1,0,1,same,,,硝苯地平/side/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1vs16-硝苯地平控释片30mg-亚宝-241001-Side-36h-750X-1-1.docx,,,insufficient,same,1,0,0,0,0,,1
slot_2,硝苯地平控释片30mg,,拜新同,亚宝,拜新同 vs 亚宝,BJ86516 vs 241001,cross_manufacturer,硝苯地平控释片30mg || 拜新同 vs 亚宝 || BJ86516 vs 241001,硝苯地平控释片30mg || 拜新同 vs 亚宝 || BJ86516 vs 241001 || slot_2,1,0,1,different,,,硝苯地平/side/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1vs16-硝苯地平控释片30mg-亚宝-241001-Side-36h-750X-1-2.docx,,,insufficient,different,0,1,0,0,0,,1
slot_3,硝苯地平控释片30mg,,拜新同,亚宝,拜新同 vs 亚宝,BJ86516 vs 241001,cross_manufacturer,硝苯地平控释片30mg || 拜新同 vs 亚宝 || BJ86516 vs 241001,硝苯地平控释片30mg || 拜新同 vs 亚宝 || BJ86516 vs 241001 || slot_3,1,0,1,same,,,硝苯地平/side/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1vs16-硝苯地平控释片30mg-亚宝-241001-Side-36h-750X-1-3.docx,,,insufficient,same,1,0,0,0,0,,1
slot_1,硝苯地平控释片30mg,,拜新同,亿普,拜新同 vs 亿普,BJ86516 vs A240105R1,cross_manufacturer,硝苯地平控释片30mg || 拜新同 vs 亿普 || BJ86516 vs A240105R1,硝苯地平控释片30mg || 拜新同 vs 亿普 || BJ86516 vs A240105R1 || slot_1,1,0,1,same,,,硝苯地平/side/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1vs15-硝苯地平控释片30mg-亿普-A240105R1-Side-36h-750X-1-1.docx,,,insufficient,same,1,0,0,0,0,,1
slot_2,硝苯地平控释片30mg,,拜新同,亿普,拜新同 vs 亿普,BJ86516 vs A240105R1,cross_manufacturer,硝苯地平控释片30mg || 拜新同 vs 亿普 || BJ86516 vs A240105R1,硝苯地平控释片30mg || 拜新同 vs 亿普 || BJ86516 vs A240105R1 || slot_2,1,0,1,same,,,硝苯地平/side/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1vs15-硝苯地平控释片30mg-亿普-A240105R1-Side-36h-750X-1-2.docx,,,insufficient,same,1,0,0,0,0,,1
slot_3,硝苯地平控释片30mg,,拜新同,亿普,拜新同 vs 亿普,BJ86516 vs A240105R1,cross_manufacturer,硝苯地平控释片30mg || 拜新同 vs 亿普 || BJ86516 vs A240105R1,硝苯地平控释片30mg || 拜新同 vs 亿普 || BJ86516 vs A240105R1 || slot_3,1,0,1,same,,,硝苯地平/side/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1vs15-硝苯地平控释片30mg-亿普-A240105R1-Side-36h-750X-1-3.docx,,,insufficient,same,1,0,0,0,0,,1
slot_1,硝苯地平控释片30mg,,拜新同,君保泰,拜新同 vs 君保泰,BJ86516 vs 2505363,cross_manufacturer,硝苯地平控释片30mg || 拜新同 vs 君保泰 || BJ86516 vs 2505363,硝苯地平控释片30mg || 拜新同 vs 君保泰 || BJ86516 vs 2505363 || slot_1,1,0,1,same,,,硝苯地平/side/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1vs10-硝苯地平控释片30mg-君保泰-2505363-Side-36h-750X-1-1.docx,,,insufficient,same,1,0,0,0,0,,1
slot_2,硝苯地平控释片30mg,,拜新同,君保泰,拜新同 vs 君保泰,BJ86516 vs 2505363,cross_manufacturer,硝苯地平控释片30mg || 拜新同 vs 君保泰 || BJ86516 vs 2505363,硝苯地平控释片30mg || 拜新同 vs 君保泰 || BJ86516 vs 2505363 || slot_2,1,0,1,same,,,硝苯地平/side/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1vs10-硝苯地平控释片30mg-君保泰-2505363-Side-36h-750X-1-2.docx,,,insufficient,same,1,0,0,0,0,,1
slot_3,硝苯地平控释片30mg,,拜新同,君保泰,拜新同 vs 君保泰,BJ86516 vs 2505363,cross_manufacturer,硝苯地平控释片30mg || 拜新同 vs 君保泰 || BJ86516 vs 2505363,硝苯地平控释片30mg || 拜新同 vs 君保泰 || BJ86516 vs 2505363 || slot_3,1,0,1,same,,,硝苯地平/side/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1vs10-硝苯地平控释片30mg-君保泰-2505363-Side-36h-750X-1-3.docx,,,insufficient,same,1,0,0,0,0,,1
