summary_scope,model_bucket,primary_drug_label,primary_pH_label,reference_manufacturer_label,manufacturer_label,manufacturer_pair,batch_pair,comparison_scope,repeat_group_total,complete_repeat_group_count,consistent_group_count,inconsistent_group_count,ambiguous_group_count,potential_false_positive_count,potential_false_negative_count,consistency_rate_pct,inconsistency_rate_pct
ALL_MODELS,ALL,硝苯地平控释片30mg,unknown,拜新同,居安诺,拜新同 vs 居安诺,BJ86516 vs Q332411291,cross_manufacturer,3,0,0,0,3,0,0,0.0,0.0
ALL_MODELS,ALL,硝苯地平控释片30mg,unknown,拜新同,得欣通,拜新同 vs 得欣通,BJ86516 vs 2214250501,cross_manufacturer,3,0,0,0,3,0,0,0.0,0.0
ALL_MODELS,ALL,硝苯地平控释片30mg,unknown,拜新同,拜新同,拜新同 vs 拜新同,BJ86516 vs BJ86516,same_manufacturer,3,0,0,0,3,0,0,0.0,0.0
ALL_MODELS,ALL,硝苯地平控释片30mg,unknown,拜新同,易释,拜新同 vs 易释,BJ86516 vs 2506K003,cross_manufacturer,3,0,0,0,3,0,0,0.0,0.0
ALL_MODELS,ALL,硝苯地平控释片30mg,unknown,拜新同,欣然,拜新同 vs 欣然,BJ86516 vs 25053401,cross_manufacturer,3,0,0,0,3,0,0,0.0,0.0
ALL_MODELS,ALL,硝苯地平控释片30mg,unknown,拜新同,欣适平,拜新同 vs 欣适平,BJ86516 vs 58,cross_manufacturer,3,0,0,0,3,0,0,0.0,0.0
ALL_MODELS,ALL,硝苯地平控释片30mg,unknown,拜新同,立方,拜新同 vs 立方,BJ86516 vs 2503501,cross_manufacturer,3,0,0,0,3,0,0,0.0,0.0
ALL_MODELS,ALL,硝苯地平控释片30mg,unknown,拜新同,贝奇康,拜新同 vs 贝奇康,BJ86516 vs 2406601,cross_manufacturer,3,0,0,0,3,0,0,0.0,0.0
ALL_MODELS,ALL,硝苯地平控释片30mg,unknown,拜新同,赛新同,拜新同 vs 赛新同,BJ86516 vs 12401091,cross_manufacturer,3,0,0,0,3,0,0,0.0,0.0
MODEL_BUCKET,slot_1,咪唑斯汀缓释片10mg,pH6.8,皿治林,奥尼捷,皿治林 vs 奥尼捷,unknown,cross_manufacturer,1,0,0,0,1,0,0,0.0,0.0
MODEL_BUCKET,slot_1,咪唑斯汀缓释片10mg,pH6.8,皿治林,皿治林,皿治林 vs 皿治林,unknown,same_manufacturer,1,0,1,0,0,0,0,100.0,0.0
MODEL_BUCKET,slot_1,地诺孕素片2mg,pH4.5,唯散宁,博律,唯散宁 vs 博律,WE127F vs DH2505,cross_manufacturer,1,1,1,0,0,0,0,100.0,0.0
MODEL_BUCKET,slot_1,地诺孕素片2mg,pH4.5,唯散宁,唯散宁,唯散宁 vs 唯散宁,WE127F vs WE127F,same_manufacturer,1,1,1,0,0,0,0,100.0,0.0
MODEL_BUCKET,slot_1,地诺孕素片2mg,pH4.5,唯散宁,小仙片,唯散宁 vs 小仙片,WE127F vs 101250301,cross_manufacturer,1,1,1,0,0,0,0,100.0,0.0
MODEL_BUCKET,slot_1,地诺孕素片2mg,pH4.5,唯散宁,紫竹,唯散宁 vs 紫竹,WE127F vs 43250634,cross_manufacturer,1,1,1,0,0,0,0,100.0,0.0
MODEL_BUCKET,slot_1,地诺孕素片2mg,pH4.5,唯散宁,蒂诺安,唯散宁 vs 蒂诺安,WE127F vs DEA241203,cross_manufacturer,1,1,1,0,0,0,0,100.0,0.0
MODEL_BUCKET,slot_1,硝苯地平控释片30mg,unknown,拜新同,一品红,拜新同 vs 一品红,BJ86516 vs 302125001,cross_manufacturer,1,0,0,0,1,0,0,0.0,0.0
MODEL_BUCKET,slot_1,硝苯地平控释片30mg,unknown,拜新同,久保平,拜新同 vs 久保平,BJ86516 vs 22400938,cross_manufacturer,1,0,0,0,1,0,0,0.0,0.0
MODEL_BUCKET,slot_1,硝苯地平控释片30mg,unknown,拜新同,亚宝,拜新同 vs 亚宝,BJ86516 vs 241001,cross_manufacturer,1,0,0,0,1,0,0,0.0,0.0
MODEL_BUCKET,slot_1,硝苯地平控释片30mg,unknown,拜新同,亿普,拜新同 vs 亿普,BJ86516 vs A240105R1,cross_manufacturer,1,0,0,0,1,0,0,0.0,0.0
MODEL_BUCKET,slot_1,硝苯地平控释片30mg,unknown,拜新同,君保泰,拜新同 vs 君保泰,BJ86516 vs 2505363,cross_manufacturer,1,0,0,0,1,0,0,0.0,0.0
MODEL_BUCKET,slot_1,硝苯地平控释片30mg,unknown,拜新同,奈特,拜新同 vs 奈特,BJ86516 vs 240419111,cross_manufacturer,1,0,0,0,1,0,0,0.0,0.0
MODEL_BUCKET,slot_1,硝苯地平控释片30mg,unknown,拜新同,奥赛定,拜新同 vs 奥赛定,BJ86516 vs 0000117508,cross_manufacturer,1,0,0,0,1,0,0,0.0,0.0
MODEL_BUCKET,slot_1,硝苯地平控释片30mg,unknown,拜新同,居安诺,拜新同 vs 居安诺,BJ86516 vs Q332411291,cross_manufacturer,1,0,0,0,1,0,0,0.0,0.0
MODEL_BUCKET,slot_1,硝苯地平控释片30mg,unknown,拜新同,得欣通,拜新同 vs 得欣通,BJ86516 vs 2214250501,cross_manufacturer,1,0,0,0,1,0,0,0.0,0.0
MODEL_BUCKET,slot_1,硝苯地平控释片30mg,unknown,拜新同,拜新同,拜新同 vs 拜新同,BJ86516 vs BJ86516,same_manufacturer,1,0,0,0,1,0,0,0.0,0.0
MODEL_BUCKET,slot_1,硝苯地平控释片30mg,unknown,拜新同,易释,拜新同 vs 易释,BJ86516 vs 2506K003,cross_manufacturer,1,0,0,0,1,0,0,0.0,0.0
MODEL_BUCKET,slot_1,硝苯地平控释片30mg,unknown,拜新同,欣然,拜新同 vs 欣然,BJ86516 vs 25053401,cross_manufacturer,1,0,0,0,1,0,0,0.0,0.0
MODEL_BUCKET,slot_1,硝苯地平控释片30mg,unknown,拜新同,欣适平,拜新同 vs 欣适平,BJ86516 vs 58,cross_manufacturer,1,0,0,0,1,0,0,0.0,0.0
MODEL_BUCKET,slot_1,硝苯地平控释片30mg,unknown,拜新同,立方,拜新同 vs 立方,BJ86516 vs 2503501,cross_manufacturer,1,0,0,0,1,0,0,0.0,0.0
MODEL_BUCKET,slot_1,硝苯地平控释片30mg,unknown,拜新同,贝奇康,拜新同 vs 贝奇康,BJ86516 vs 2406601,cross_manufacturer,1,0,0,0,1,0,0,0.0,0.0
MODEL_BUCKET,slot_1,硝苯地平控释片30mg,unknown,拜新同,赛新同,拜新同 vs 赛新同,BJ86516 vs 12401091,cross_manufacturer,1,0,0,0,1,0,0,0.0,0.0
MODEL_BUCKET,slot_2,咪唑斯汀缓释片10mg,pH6.8,皿治林,奥尼捷,皿治林 vs 奥尼捷,unknown,cross_manufacturer,1,0,0,0,1,0,0,0.0,0.0
MODEL_BUCKET,slot_2,咪唑斯汀缓释片10mg,pH6.8,皿治林,皿治林,皿治林 vs 皿治林,unknown,same_manufacturer,1,0,1,0,0,0,0,100.0,0.0
MODEL_BUCKET,slot_2,地诺孕素片2mg,pH4.5,唯散宁,博律,唯散宁 vs 博律,WE127F vs DH2505,cross_manufacturer,1,1,1,0,0,0,0,100.0,0.0
MODEL_BUCKET,slot_2,地诺孕素片2mg,pH4.5,唯散宁,唯散宁,唯散宁 vs 唯散宁,WE127F vs WE127F,same_manufacturer,1,1,1,0,0,0,0,100.0,0.0
MODEL_BUCKET,slot_2,地诺孕素片2mg,pH4.5,唯散宁,小仙片,唯散宁 vs 小仙片,WE127F vs 101250301,cross_manufacturer,1,1,1,0,0,0,0,100.0,0.0
MODEL_BUCKET,slot_2,地诺孕素片2mg,pH4.5,唯散宁,紫竹,唯散宁 vs 紫竹,WE127F vs 43250634,cross_manufacturer,1,1,1,0,0,0,0,100.0,0.0
MODEL_BUCKET,slot_2,地诺孕素片2mg,pH4.5,唯散宁,蒂诺安,唯散宁 vs 蒂诺安,WE127F vs DEA241203,cross_manufacturer,1,1,1,0,0,0,0,100.0,0.0
MODEL_BUCKET,slot_2,硝苯地平控释片30mg,unknown,拜新同,一品红,拜新同 vs 一品红,BJ86516 vs 302125001,cross_manufacturer,1,0,0,0,1,0,0,0.0,0.0
MODEL_BUCKET,slot_2,硝苯地平控释片30mg,unknown,拜新同,久保平,拜新同 vs 久保平,BJ86516 vs 22400938,cross_manufacturer,1,0,0,0,1,0,0,0.0,0.0
MODEL_BUCKET,slot_2,硝苯地平控释片30mg,unknown,拜新同,亚宝,拜新同 vs 亚宝,BJ86516 vs 241001,cross_manufacturer,1,0,0,0,1,0,0,0.0,0.0
MODEL_BUCKET,slot_2,硝苯地平控释片30mg,unknown,拜新同,亿普,拜新同 vs 亿普,BJ86516 vs A240105R1,cross_manufacturer,1,0,0,0,1,0,0,0.0,0.0
MODEL_BUCKET,slot_2,硝苯地平控释片30mg,unknown,拜新同,君保泰,拜新同 vs 君保泰,BJ86516 vs 2505363,cross_manufacturer,1,0,0,0,1,0,0,0.0,0.0
MODEL_BUCKET,slot_2,硝苯地平控释片30mg,unknown,拜新同,奈特,拜新同 vs 奈特,BJ86516 vs 240419111,cross_manufacturer,1,0,0,0,1,0,0,0.0,0.0
MODEL_BUCKET,slot_2,硝苯地平控释片30mg,unknown,拜新同,奥赛定,拜新同 vs 奥赛定,BJ86516 vs 0000117508,cross_manufacturer,1,0,0,0,1,0,0,0.0,0.0
MODEL_BUCKET,slot_2,硝苯地平控释片30mg,unknown,拜新同,居安诺,拜新同 vs 居安诺,BJ86516 vs Q332411291,cross_manufacturer,1,0,0,0,1,0,0,0.0,0.0
MODEL_BUCKET,slot_2,硝苯地平控释片30mg,unknown,拜新同,得欣通,拜新同 vs 得欣通,BJ86516 vs 2214250501,cross_manufacturer,1,0,0,0,1,0,0,0.0,0.0
MODEL_BUCKET,slot_2,硝苯地平控释片30mg,unknown,拜新同,拜新同,拜新同 vs 拜新同,BJ86516 vs BJ86516,same_manufacturer,1,0,0,0,1,0,0,0.0,0.0
MODEL_BUCKET,slot_2,硝苯地平控释片30mg,unknown,拜新同,易释,拜新同 vs 易释,BJ86516 vs 2506K003,cross_manufacturer,1,0,0,0,1,0,0,0.0,0.0
MODEL_BUCKET,slot_2,硝苯地平控释片30mg,unknown,拜新同,欣然,拜新同 vs 欣然,BJ86516 vs 25053401,cross_manufacturer,1,0,0,0,1,0,0,0.0,0.0
MODEL_BUCKET,slot_2,硝苯地平控释片30mg,unknown,拜新同,欣适平,拜新同 vs 欣适平,BJ86516 vs 58,cross_manufacturer,1,0,0,0,1,0,0,0.0,0.0
MODEL_BUCKET,slot_2,硝苯地平控释片30mg,unknown,拜新同,立方,拜新同 vs 立方,BJ86516 vs 2503501,cross_manufacturer,1,0,0,0,1,0,0,0.0,0.0
MODEL_BUCKET,slot_2,硝苯地平控释片30mg,unknown,拜新同,贝奇康,拜新同 vs 贝奇康,BJ86516 vs 2406601,cross_manufacturer,1,0,0,0,1,0,0,0.0,0.0
MODEL_BUCKET,slot_2,硝苯地平控释片30mg,unknown,拜新同,赛新同,拜新同 vs 赛新同,BJ86516 vs 12401091,cross_manufacturer,1,0,0,0,1,0,0,0.0,0.0
MODEL_BUCKET,slot_3,咪唑斯汀缓释片10mg,pH6.8,皿治林,奥尼捷,皿治林 vs 奥尼捷,unknown,cross_manufacturer,1,0,0,0,1,0,0,0.0,0.0
MODEL_BUCKET,slot_3,咪唑斯汀缓释片10mg,pH6.8,皿治林,皿治林,皿治林 vs 皿治林,unknown,same_manufacturer,1,0,1,0,0,0,0,100.0,0.0
MODEL_BUCKET,slot_3,地诺孕素片2mg,pH4.5,唯散宁,博律,唯散宁 vs 博律,WE127F vs DH2505,cross_manufacturer,1,1,1,0,0,0,0,100.0,0.0
MODEL_BUCKET,slot_3,地诺孕素片2mg,pH4.5,唯散宁,唯散宁,唯散宁 vs 唯散宁,WE127F vs WE127F,same_manufacturer,1,1,0,1,0,0,1,0.0,100.0
MODEL_BUCKET,slot_3,地诺孕素片2mg,pH4.5,唯散宁,小仙片,唯散宁 vs 小仙片,WE127F vs 101250301,cross_manufacturer,1,1,1,0,0,0,0,100.0,0.0
MODEL_BUCKET,slot_3,地诺孕素片2mg,pH4.5,唯散宁,紫竹,唯散宁 vs 紫竹,WE127F vs 43250634,cross_manufacturer,1,1,1,0,0,0,0,100.0,0.0
MODEL_BUCKET,slot_3,地诺孕素片2mg,pH4.5,唯散宁,蒂诺安,唯散宁 vs 蒂诺安,WE127F vs DEA241203,cross_manufacturer,1,1,0,1,0,0,1,0.0,100.0
MODEL_BUCKET,slot_3,硝苯地平控释片30mg,unknown,拜新同,一品红,拜新同 vs 一品红,BJ86516 vs 302125001,cross_manufacturer,1,0,0,0,1,0,0,0.0,0.0
MODEL_BUCKET,slot_3,硝苯地平控释片30mg,unknown,拜新同,久保平,拜新同 vs 久保平,BJ86516 vs 22400938,cross_manufacturer,1,0,0,0,1,0,0,0.0,0.0
MODEL_BUCKET,slot_3,硝苯地平控释片30mg,unknown,拜新同,亚宝,拜新同 vs 亚宝,BJ86516 vs 241001,cross_manufacturer,1,0,0,0,1,0,0,0.0,0.0
MODEL_BUCKET,slot_3,硝苯地平控释片30mg,unknown,拜新同,亿普,拜新同 vs 亿普,BJ86516 vs A240105R1,cross_manufacturer,1,0,0,0,1,0,0,0.0,0.0
MODEL_BUCKET,slot_3,硝苯地平控释片30mg,unknown,拜新同,君保泰,拜新同 vs 君保泰,BJ86516 vs 2505363,cross_manufacturer,1,0,0,0,1,0,0,0.0,0.0
MODEL_BUCKET,slot_3,硝苯地平控释片30mg,unknown,拜新同,奈特,拜新同 vs 奈特,BJ86516 vs 240419111,cross_manufacturer,1,0,0,0,1,0,0,0.0,0.0
MODEL_BUCKET,slot_3,硝苯地平控释片30mg,unknown,拜新同,奥赛定,拜新同 vs 奥赛定,BJ86516 vs 0000117508,cross_manufacturer,1,0,0,0,1,0,0,0.0,0.0
MODEL_BUCKET,slot_3,硝苯地平控释片30mg,unknown,拜新同,居安诺,拜新同 vs 居安诺,BJ86516 vs Q332411291,cross_manufacturer,1,0,0,0,1,0,0,0.0,0.0
MODEL_BUCKET,slot_3,硝苯地平控释片30mg,unknown,拜新同,得欣通,拜新同 vs 得欣通,BJ86516 vs 2214250501,cross_manufacturer,1,0,0,0,1,0,0,0.0,0.0
MODEL_BUCKET,slot_3,硝苯地平控释片30mg,unknown,拜新同,拜新同,拜新同 vs 拜新同,BJ86516 vs BJ86516,same_manufacturer,1,0,0,0,1,0,0,0.0,0.0
MODEL_BUCKET,slot_3,硝苯地平控释片30mg,unknown,拜新同,易释,拜新同 vs 易释,BJ86516 vs 2506K003,cross_manufacturer,1,0,0,0,1,0,0,0.0,0.0
MODEL_BUCKET,slot_3,硝苯地平控释片30mg,unknown,拜新同,欣然,拜新同 vs 欣然,BJ86516 vs 25053401,cross_manufacturer,1,0,0,0,1,0,0,0.0,0.0
MODEL_BUCKET,slot_3,硝苯地平控释片30mg,unknown,拜新同,欣适平,拜新同 vs 欣适平,BJ86516 vs 58,cross_manufacturer,1,0,0,0,1,0,0,0.0,0.0
MODEL_BUCKET,slot_3,硝苯地平控释片30mg,unknown,拜新同,立方,拜新同 vs 立方,BJ86516 vs 2503501,cross_manufacturer,1,0,0,0,1,0,0,0.0,0.0
MODEL_BUCKET,slot_3,硝苯地平控释片30mg,unknown,拜新同,贝奇康,拜新同 vs 贝奇康,BJ86516 vs 2406601,cross_manufacturer,1,0,0,0,1,0,0,0.0,0.0
MODEL_BUCKET,slot_3,硝苯地平控释片30mg,unknown,拜新同,赛新同,拜新同 vs 赛新同,BJ86516 vs 12401091,cross_manufacturer,1,0,0,0,1,0,0,0.0,0.0
