"repo_path","original_path","original_filename","repo_filename","file_type","description","related_manuscript_section","related_figure_or_table","public_release_status","copied_status","notes"
"","D:\new python\3d模型预测\数据整理与训练\split_md_for_dify.py","split_md_for_dify.py","split_md_for_dify.py","script","Batch or workflow execution helper script.","Workflow and skill-assisted language-model methods","","not_copied_review_required","skipped_excluded_review","Marked public/priority in inventory but present in exclusion or large-file review CSV, so it was not copied."
"","D:\new python\3d模型预测\数据整理与训练\split_md_for_dify_constraints.py","split_md_for_dify_constraints.py","split_md_for_dify_constraints.py","script","Batch or workflow execution helper script.","Workflow and skill-assisted language-model methods","","not_copied_review_required","skipped_excluded_review","Marked public/priority in inventory but present in exclusion or large-file review CSV, so it was not copied."
".gitignore","","",".gitignore","file","Generated repository metadata or directory README.","Repository documentation and reproducibility","","public_generated","generated","Created during Phase 2 staging; not copied from source project files."
"CITATION.cff","","","CITATION.cff","text_document","Generated repository metadata or directory README.","Repository documentation and reproducibility","","public_generated","generated","Created during Phase 2 staging; not copied from source project files."
"curation_manual_decisions.csv","","","curation_manual_decisions.csv","tabular_data","Generated machine-readable curation findings and manual decisions list.","Repository documentation and reproducibility","","public_generated","generated","Generated during curation review; no source project file modified."
"docs/README.md","","","README.md","text_document","Generated repository metadata or directory README.","Repository documentation and reproducibility","","public_generated","generated","Created during Phase 2 staging; not copied from source project files."
"docs/README_2.md","D:\Claude code\nature_comm_figures\data\raw\README.md","README.md","README_2.md","text_document","Repository/manuscript support documentation.","Repository documentation and reproducibility","","public_copied_from_reviewed_inventory","copied","Target filename collision; copied as README_2.md instead of README.md. Repository filename differs from original filename for English naming, normalization, or collision safety. "
"docs/README_3.md","D:\Claude code\nature_comm_figures\README.md","README.md","README_3.md","text_document","Repository/manuscript support documentation.","Repository documentation and reproducibility","","public_copied_from_reviewed_inventory","copied","Target filename collision; copied as README_3.md instead of README.md. Repository filename differs from original filename for English naming, normalization, or collision safety. "
"docs/reproducibility_notes.md","","","reproducibility_notes.md","documentation","Repository-level reproducibility notes for environment, scripts, sampled data, and workflow execution.","Repository preparation","Reproducibility","generated_from_repository_context","generated","Generated from the repository contents and user guidance that public data are example/sampled because full datasets are confidential."
"docs/requirements.txt","D:\Claude code\nature_comm_figures\requirements.txt","requirements.txt","requirements.txt","text_document","Repository/manuscript support documentation.","Repository documentation and reproducibility","","public_copied_from_reviewed_inventory","copied",""
"docs/skill_metric_definitions.md","D:\Claude code\model-output-batch-analyzer\README.md","README.md","skill_metric_definitions.md","documentation","Definitions of model-output analyzer and skill/workflow evaluation metrics.","Methods: evaluation metrics","Figure 3","generated_from_approved_source_readme","generated","Generated from D:\Claude code\model-output-batch-analyzer\README.md and copied analyzer outputs."
"example_data/example_images/01-ph4.5t-_2mg-_-we127f-side-15min-_-1_0005.000.jpg","E:\桌面\办公\符\论文\药学大模型推进\data 2\result\output\地诺孕素\pH4.5\side\01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1\01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1_0005.000.jpg","01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1_0005.000.jpg","01-ph4.5t-_2mg-_-we127f-side-15min-_-1_0005.000.jpg","image","Small example image output.","Validation and example data","","public_copied_from_reviewed_inventory","copied","Repository filename differs from original filename for English naming, normalization, or collision safety. Inventory marked file as needing English/stable renaming. Suggested English filename for later copy phase."
"example_data/example_images/01-ph4.5t-_2mg-_-we127f-side-15min-_-1_0045.000.jpg","E:\桌面\办公\符\论文\药学大模型推进\data 2\result\output\地诺孕素\pH4.5\side\01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1\01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1_0045.000.jpg","01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1_0045.000.jpg","01-ph4.5t-_2mg-_-we127f-side-15min-_-1_0045.000.jpg","image","Small example image output.","Validation and example data","","public_copied_from_reviewed_inventory","copied","Repository filename differs from original filename for English naming, normalization, or collision safety. Inventory marked file as needing English/stable renaming. Suggested English filename for later copy phase."
"example_data/example_images/01-ph4.5t-_2mg-_-we127f-side-15min-_-1_0090.000.jpg","E:\桌面\办公\符\论文\药学大模型推进\data 2\result\output\地诺孕素\pH4.5\side\01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1\01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1_0090.000.jpg","01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1_0090.000.jpg","01-ph4.5t-_2mg-_-we127f-side-15min-_-1_0090.000.jpg","image","Small example image output.","Validation and example data","","public_copied_from_reviewed_inventory","copied","Repository filename differs from original filename for English naming, normalization, or collision safety. Inventory marked file as needing English/stable renaming. Suggested English filename for later copy phase."
"example_data/example_images/01-ph4.5t-_2mg-_-we127f-side-15min-_-1_0135.000.jpg","E:\桌面\办公\符\论文\药学大模型推进\data 2\result\output\地诺孕素\pH4.5\side\01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1\01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1_0135.000.jpg","01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1_0135.000.jpg","01-ph4.5t-_2mg-_-we127f-side-15min-_-1_0135.000.jpg","image","Small example image output.","Validation and example data","","public_copied_from_reviewed_inventory","copied","Repository filename differs from original filename for English naming, normalization, or collision safety. Inventory marked file as needing English/stable renaming. Suggested English filename for later copy phase."
"example_data/example_images/01-ph4.5t-_2mg-_-we127f-side-15min-_-1_0180.000.jpg","E:\桌面\办公\符\论文\药学大模型推进\data 2\result\output\地诺孕素\pH4.5\side\01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1\01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1_0180.000.jpg","01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1_0180.000.jpg","01-ph4.5t-_2mg-_-we127f-side-15min-_-1_0180.000.jpg","image","Small example image output.","Validation and example data","","public_copied_from_reviewed_inventory","copied","Repository filename differs from original filename for English naming, normalization, or collision safety. Inventory marked file as needing English/stable renaming. Suggested English filename for later copy phase."
"example_data/example_images/01-ph4.5t-_2mg-_-we127f-side-15min-_-1_0225.000.jpg","E:\桌面\办公\符\论文\药学大模型推进\data 2\result\output\地诺孕素\pH4.5\side\01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1\01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1_0225.000.jpg","01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1_0225.000.jpg","01-ph4.5t-_2mg-_-we127f-side-15min-_-1_0225.000.jpg","image","Small example image output.","Validation and example data","","public_copied_from_reviewed_inventory","copied","Repository filename differs from original filename for English naming, normalization, or collision safety. Inventory marked file as needing English/stable renaming. Suggested English filename for later copy phase."
"example_data/example_images/01-ph4.5t-_2mg-_-we127f-side-15min-_-1_0270.000.jpg","E:\桌面\办公\符\论文\药学大模型推进\data 2\result\output\地诺孕素\pH4.5\side\01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1\01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1_0270.000.jpg","01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1_0270.000.jpg","01-ph4.5t-_2mg-_-we127f-side-15min-_-1_0270.000.jpg","image","Small example image output.","Validation and example data","","public_copied_from_reviewed_inventory","copied","Repository filename differs from original filename for English naming, normalization, or collision safety. Inventory marked file as needing English/stable renaming. Suggested English filename for later copy phase."
"example_data/example_images/01-ph4.5t-_2mg-_-we127f-side-15min-_-1_0315.000.jpg","E:\桌面\办公\符\论文\药学大模型推进\data 2\result\output\地诺孕素\pH4.5\side\01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1\01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1_0315.000.jpg","01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1_0315.000.jpg","01-ph4.5t-_2mg-_-we127f-side-15min-_-1_0315.000.jpg","image","Small example image output.","Validation and example data","","public_copied_from_reviewed_inventory","copied","Repository filename differs from original filename for English naming, normalization, or collision safety. Inventory marked file as needing English/stable renaming. Suggested English filename for later copy phase."
"example_data/example_images/01-ph4.5t-_2mg-_-we127f-side-15min-_-1_0360.000.jpg","E:\桌面\办公\符\论文\药学大模型推进\data 2\result\output\地诺孕素\pH4.5\side\01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1\01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1_0360.000.jpg","01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1_0360.000.jpg","01-ph4.5t-_2mg-_-we127f-side-15min-_-1_0360.000.jpg","image","Small example image output.","Validation and example data","","public_copied_from_reviewed_inventory","copied","Repository filename differs from original filename for English naming, normalization, or collision safety. Inventory marked file as needing English/stable renaming. Suggested English filename for later copy phase."
"example_data/example_images/01-ph4.5t-_2mg-_-we127f-side-15min-_-1_0405.000.jpg","E:\桌面\办公\符\论文\药学大模型推进\data 2\result\output\地诺孕素\pH4.5\side\01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1\01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1_0405.000.jpg","01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1_0405.000.jpg","01-ph4.5t-_2mg-_-we127f-side-15min-_-1_0405.000.jpg","image","Small example image output.","Validation and example data","","public_copied_from_reviewed_inventory","copied","Repository filename differs from original filename for English naming, normalization, or collision safety. Inventory marked file as needing English/stable renaming. Suggested English filename for later copy phase."
"example_data/example_images/01-ph4.5t-_2mg-_-we127f-side-15min-_-1_0450.000.jpg","E:\桌面\办公\符\论文\药学大模型推进\data 2\result\output\地诺孕素\pH4.5\side\01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1\01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1_0450.000.jpg","01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1_0450.000.jpg","01-ph4.5t-_2mg-_-we127f-side-15min-_-1_0450.000.jpg","image","Small example image output.","Validation and example data","","public_copied_from_reviewed_inventory","copied","Repository filename differs from original filename for English naming, normalization, or collision safety. Inventory marked file as needing English/stable renaming. Suggested English filename for later copy phase."
"example_data/example_images/01-ph4.5t-_2mg-_-we127f-side-15min-_-1_0495.000.jpg","E:\桌面\办公\符\论文\药学大模型推进\data 2\result\output\地诺孕素\pH4.5\side\01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1\01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1_0495.000.jpg","01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1_0495.000.jpg","01-ph4.5t-_2mg-_-we127f-side-15min-_-1_0495.000.jpg","image","Small example image output.","Validation and example data","","public_copied_from_reviewed_inventory","copied","Repository filename differs from original filename for English naming, normalization, or collision safety. Inventory marked file as needing English/stable renaming. Suggested English filename for later copy phase."
"example_data/example_images/01-ph4.5t-_2mg-_-we127f-side-15min-_-1_0540.000.jpg","E:\桌面\办公\符\论文\药学大模型推进\data 2\result\output\地诺孕素\pH4.5\side\01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1\01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1_0540.000.jpg","01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1_0540.000.jpg","01-ph4.5t-_2mg-_-we127f-side-15min-_-1_0540.000.jpg","image","Small example image output.","Validation and example data","","public_copied_from_reviewed_inventory","copied","Repository filename differs from original filename for English naming, normalization, or collision safety. Inventory marked file as needing English/stable renaming. Suggested English filename for later copy phase."
"example_data/example_images/01-ph4.5t-_2mg-_-we127f-side-15min-_-1_0585.000.jpg","E:\桌面\办公\符\论文\药学大模型推进\data 2\result\output\地诺孕素\pH4.5\side\01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1\01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1_0585.000.jpg","01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1_0585.000.jpg","01-ph4.5t-_2mg-_-we127f-side-15min-_-1_0585.000.jpg","image","Small example image output.","Validation and example data","","public_copied_from_reviewed_inventory","copied","Repository filename differs from original filename for English naming, normalization, or collision safety. Inventory marked file as needing English/stable renaming. Suggested English filename for later copy phase."
"example_data/example_images/01-ph4.5t-_2mg-_-we127f-side-15min-_-1_0630.000.jpg","E:\桌面\办公\符\论文\药学大模型推进\data 2\result\output\地诺孕素\pH4.5\side\01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1\01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1_0630.000.jpg","01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1_0630.000.jpg","01-ph4.5t-_2mg-_-we127f-side-15min-_-1_0630.000.jpg","image","Small example image output.","Validation and example data","","public_copied_from_reviewed_inventory","copied","Repository filename differs from original filename for English naming, normalization, or collision safety. Inventory marked file as needing English/stable renaming. Suggested English filename for later copy phase."
"example_data/example_images/01-ph4.5t-_2mg-_-we127f-side-15min-_-1_0675.000.jpg","E:\桌面\办公\符\论文\药学大模型推进\data 2\result\output\地诺孕素\pH4.5\side\01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1\01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1_0675.000.jpg","01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1_0675.000.jpg","01-ph4.5t-_2mg-_-we127f-side-15min-_-1_0675.000.jpg","image","Small example image output.","Validation and example data","","public_copied_from_reviewed_inventory","copied","Repository filename differs from original filename for English naming, normalization, or collision safety. Inventory marked file as needing English/stable renaming. Suggested English filename for later copy phase."
"example_data/example_images/01-ph4.5t-_2mg-_-we127f-side-15min-_-1_0720.000.jpg","E:\桌面\办公\符\论文\药学大模型推进\data 2\result\output\地诺孕素\pH4.5\side\01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1\01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1_0720.000.jpg","01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1_0720.000.jpg","01-ph4.5t-_2mg-_-we127f-side-15min-_-1_0720.000.jpg","image","Small example image output.","Validation and example data","","public_copied_from_reviewed_inventory","copied","Repository filename differs from original filename for English naming, normalization, or collision safety. Inventory marked file as needing English/stable renaming. Suggested English filename for later copy phase."
"example_data/example_images/01-ph4.5t-_2mg-_-we127f-side-15min-_-1_0765.000.jpg","E:\桌面\办公\符\论文\药学大模型推进\data 2\result\output\地诺孕素\pH4.5\side\01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1\01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1_0765.000.jpg","01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1_0765.000.jpg","01-ph4.5t-_2mg-_-we127f-side-15min-_-1_0765.000.jpg","image","Small example image output.","Validation and example data","","public_copied_from_reviewed_inventory","copied","Repository filename differs from original filename for English naming, normalization, or collision safety. Inventory marked file as needing English/stable renaming. Suggested English filename for later copy phase."
"example_data/example_images/01-ph4.5t-_2mg-_-we127f-side-15min-_-1_0810.000.jpg","E:\桌面\办公\符\论文\药学大模型推进\data 2\result\output\地诺孕素\pH4.5\side\01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1\01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1_0810.000.jpg","01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1_0810.000.jpg","01-ph4.5t-_2mg-_-we127f-side-15min-_-1_0810.000.jpg","image","Small example image output.","Validation and example data","","public_copied_from_reviewed_inventory","copied","Repository filename differs from original filename for English naming, normalization, or collision safety. Inventory marked file as needing English/stable renaming. Suggested English filename for later copy phase."
"example_data/example_images/01-ph4.5t-_2mg-_-we127f-side-15min-_-1_0855.000.jpg","E:\桌面\办公\符\论文\药学大模型推进\data 2\result\output\地诺孕素\pH4.5\side\01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1\01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1_0855.000.jpg","01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1_0855.000.jpg","01-ph4.5t-_2mg-_-we127f-side-15min-_-1_0855.000.jpg","image","Small example image output.","Validation and example data","","public_copied_from_reviewed_inventory","copied","Repository filename differs from original filename for English naming, normalization, or collision safety. Inventory marked file as needing English/stable renaming. Suggested English filename for later copy phase."
"example_data/example_images/231014-01-ph6.8t-_10mg-_-24h-side-750x-0_0000.500.jpg","E:\桌面\办公\符\论文\药学大模型推进\data 2\result\output\咪唑斯汀\side\231014-01-pH6.8T-咪唑斯汀缓释片10mg-皿治林-24h-Side-750X-0\231014-01-pH6.8T-咪唑斯汀缓释片10mg-皿治林-24h-Side-750X-0_0000.500.jpg","231014-01-pH6.8T-咪唑斯汀缓释片10mg-皿治林-24h-Side-750X-0_0000.500.jpg","231014-01-ph6.8t-_10mg-_-24h-side-750x-0_0000.500.jpg","image","Small example image output.","Validation and example data","","public_copied_from_reviewed_inventory","copied","Repository filename differs from original filename for English naming, normalization, or collision safety. Inventory marked file as needing English/stable renaming. Suggested English filename for later copy phase."
"example_data/example_images/231014-01-ph6.8t-_10mg-_-24h-side-750x-0_0006.000.jpg","E:\桌面\办公\符\论文\药学大模型推进\data 2\result\output\咪唑斯汀\side\231014-01-pH6.8T-咪唑斯汀缓释片10mg-皿治林-24h-Side-750X-0\231014-01-pH6.8T-咪唑斯汀缓释片10mg-皿治林-24h-Side-750X-0_0006.000.jpg","231014-01-pH6.8T-咪唑斯汀缓释片10mg-皿治林-24h-Side-750X-0_0006.000.jpg","231014-01-ph6.8t-_10mg-_-24h-side-750x-0_0006.000.jpg","image","Small example image output.","Validation and example data","","public_copied_from_reviewed_inventory","copied","Repository filename differs from original filename for English naming, normalization, or collision safety. Inventory marked file as needing English/stable renaming. Suggested English filename for later copy phase."
"example_data/example_images/231014-01-ph6.8t-_10mg-_-24h-side-750x-0_0012.000.jpg","E:\桌面\办公\符\论文\药学大模型推进\data 2\result\output\咪唑斯汀\side\231014-01-pH6.8T-咪唑斯汀缓释片10mg-皿治林-24h-Side-750X-0\231014-01-pH6.8T-咪唑斯汀缓释片10mg-皿治林-24h-Side-750X-0_0012.000.jpg","231014-01-pH6.8T-咪唑斯汀缓释片10mg-皿治林-24h-Side-750X-0_0012.000.jpg","231014-01-ph6.8t-_10mg-_-24h-side-750x-0_0012.000.jpg","image","Small example image output.","Validation and example data","","public_copied_from_reviewed_inventory","copied","Repository filename differs from original filename for English naming, normalization, or collision safety. Inventory marked file as needing English/stable renaming. Suggested English filename for later copy phase."
"example_data/example_images/231014-01-ph6.8t-_10mg-_-24h-side-750x-0_0018.000.jpg","E:\桌面\办公\符\论文\药学大模型推进\data 2\result\output\咪唑斯汀\side\231014-01-pH6.8T-咪唑斯汀缓释片10mg-皿治林-24h-Side-750X-0\231014-01-pH6.8T-咪唑斯汀缓释片10mg-皿治林-24h-Side-750X-0_0018.000.jpg","231014-01-pH6.8T-咪唑斯汀缓释片10mg-皿治林-24h-Side-750X-0_0018.000.jpg","231014-01-ph6.8t-_10mg-_-24h-side-750x-0_0018.000.jpg","image","Small example image output.","Validation and example data","","public_copied_from_reviewed_inventory","copied","Repository filename differs from original filename for English naming, normalization, or collision safety. Inventory marked file as needing English/stable renaming. Suggested English filename for later copy phase."
"example_data/example_images/231014-01-ph6.8t-_10mg-_-24h-side-750x-0_0024.000.jpg","E:\桌面\办公\符\论文\药学大模型推进\data 2\result\output\咪唑斯汀\side\231014-01-pH6.8T-咪唑斯汀缓释片10mg-皿治林-24h-Side-750X-0\231014-01-pH6.8T-咪唑斯汀缓释片10mg-皿治林-24h-Side-750X-0_0024.000.jpg","231014-01-pH6.8T-咪唑斯汀缓释片10mg-皿治林-24h-Side-750X-0_0024.000.jpg","231014-01-ph6.8t-_10mg-_-24h-side-750x-0_0024.000.jpg","image","Small example image output.","Validation and example data","","public_copied_from_reviewed_inventory","copied","Repository filename differs from original filename for English naming, normalization, or collision safety. Inventory marked file as needing English/stable renaming. Suggested English filename for later copy phase."
"example_data/example_images/231014-01-ph6.8t-_10mg-_-24h-side-750x-0_0030.000.jpg","E:\桌面\办公\符\论文\药学大模型推进\data 2\result\output\咪唑斯汀\side\231014-01-pH6.8T-咪唑斯汀缓释片10mg-皿治林-24h-Side-750X-0\231014-01-pH6.8T-咪唑斯汀缓释片10mg-皿治林-24h-Side-750X-0_0030.000.jpg","231014-01-pH6.8T-咪唑斯汀缓释片10mg-皿治林-24h-Side-750X-0_0030.000.jpg","231014-01-ph6.8t-_10mg-_-24h-side-750x-0_0030.000.jpg","image","Small example image output.","Validation and example data","","public_copied_from_reviewed_inventory","copied","Repository filename differs from original filename for English naming, normalization, or collision safety. Inventory marked file as needing English/stable renaming. Suggested English filename for later copy phase."
"example_data/example_images/231014-01-ph6.8t-_10mg-_-24h-side-750x-0_0036.000.jpg","E:\桌面\办公\符\论文\药学大模型推进\data 2\result\output\咪唑斯汀\side\231014-01-pH6.8T-咪唑斯汀缓释片10mg-皿治林-24h-Side-750X-0\231014-01-pH6.8T-咪唑斯汀缓释片10mg-皿治林-24h-Side-750X-0_0036.000.jpg","231014-01-pH6.8T-咪唑斯汀缓释片10mg-皿治林-24h-Side-750X-0_0036.000.jpg","231014-01-ph6.8t-_10mg-_-24h-side-750x-0_0036.000.jpg","image","Small example image output.","Validation and example data","","public_copied_from_reviewed_inventory","copied","Repository filename differs from original filename for English naming, normalization, or collision safety. Inventory marked file as needing English/stable renaming. Suggested English filename for later copy phase."
"example_data/example_images/231014-01-ph6.8t-_10mg-_-24h-side-750x-0_0042.000.jpg","E:\桌面\办公\符\论文\药学大模型推进\data 2\result\output\咪唑斯汀\side\231014-01-pH6.8T-咪唑斯汀缓释片10mg-皿治林-24h-Side-750X-0\231014-01-pH6.8T-咪唑斯汀缓释片10mg-皿治林-24h-Side-750X-0_0042.000.jpg","231014-01-pH6.8T-咪唑斯汀缓释片10mg-皿治林-24h-Side-750X-0_0042.000.jpg","231014-01-ph6.8t-_10mg-_-24h-side-750x-0_0042.000.jpg","image","Small example image output.","Validation and example data","","public_copied_from_reviewed_inventory","copied","Repository filename differs from original filename for English naming, normalization, or collision safety. Inventory marked file as needing English/stable renaming. Suggested English filename for later copy phase."
"example_data/example_images/231014-01-ph6.8t-_10mg-_-24h-side-750x-0_0048.000.jpg","E:\桌面\办公\符\论文\药学大模型推进\data 2\result\output\咪唑斯汀\side\231014-01-pH6.8T-咪唑斯汀缓释片10mg-皿治林-24h-Side-750X-0\231014-01-pH6.8T-咪唑斯汀缓释片10mg-皿治林-24h-Side-750X-0_0048.000.jpg","231014-01-pH6.8T-咪唑斯汀缓释片10mg-皿治林-24h-Side-750X-0_0048.000.jpg","231014-01-ph6.8t-_10mg-_-24h-side-750x-0_0048.000.jpg","image","Small example image output.","Validation and example data","","public_copied_from_reviewed_inventory","copied","Repository filename differs from original filename for English naming, normalization, or collision safety. Inventory marked file as needing English/stable renaming. Suggested English filename for later copy phase."
